NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
398,0,0,0,0,0
394,0,0,0,0,0
614,0,0,0,0,0
235,0,0,0,0,0
616,0,0,0,0,0
267,798,543,1360,62,0
565,0,0,0,0,0
220,71,55,127,3,0
278,628,382,1031,26,0
107,0,0,0,0,0
711,1293,432,1752,201,0
204,0,0,0,0,0
579,0,0,0,0,0
348,0,0,0,0,0
766,0,0,0,0,0
761,0,0,0,0,0
728,0,0,0,0,0
280,777,561,1358,83,0
222,0,0,0,0,0
276,2159,540,2717,192,0
11,0,0,0,0,0
302,20,36,56,1,0
682,0,0,0,0,0
279,1715,873,2660,201,0
282,1064,727,1805,70,0
281,493,339,854,65,0
183,0,0,0,0,0
610,0,0,0,0,0
116,0,0,0,0,0
115,0,0,0,0,0
114,0,0,0,0,0
119,0,0,0,0,0
770,1240,428,1687,153,0
583,0,0,0,0,0
136,0,0,0,0,0
469,91,51,142,5,0
642,574,171,754,34,0
674,2606,937,3622,424,0
193,0,0,0,0,0
526,962,317,1294,91,0
698,0,0,0,0,0
630,1085,288,1385,94,0
124,0,0,0,0,0
364,0,0,0,0,0
439,206,133,341,10,0
570,961,281,1256,85,0
123,0,0,0,0,0
310,0,0,0,0,0
571,515,101,615,19,0
296,0,0,0,0,0
566,469,82,552,0,0
784,1815,405,2260,204,0
102,0,0,0,0,0
379,0,0,0,0,0
639,1034,286,1321,87,0
457,0,0,0,0,0
609,1235,606,1838,138,0
101,0,0,0,0,0
454,503,129,634,23,0
318,0,0,0,0,0
600,549,129,675,17,0
545,975,159,1143,83,0
100,0,0,0,0,0
702,704,201,913,56,0
778,857,276,1141,54,0
341,0,0,0,0,0
99,0,0,0,0,0
767,0,0,0,0,0
359,0,0,0,0,0
98,0,0,0,0,0
132,0,0,0,0,0
97,0,0,0,0,0
103,0,0,0,0,0
110,0,0,0,0,0
94,0,0,0,0,0
91,0,0,0,0,0
664,820,235,1065,60,0
918,1827,795,2764,441,0
92,0,0,0,0,0
95,0,0,0,0,0
301,0,0,0,0,0
492,401,93,489,18,0
811,482,172,666,53,0
812,0,0,0,0,0
832,0,0,0,0,0
841,0,0,0,0,0
856,0,0,0,0,0
859,0,0,0,0,0
861,0,0,0,0,0
880,0,0,0,0,0
883,0,0,0,0,0
884,0,0,0,0,0
877,0,0,0,0,0
911,0,0,0,0,0
913,0,0,0,0,0
922,522,211,733,24,0
923,0,0,0,0,0
924,0,0,0,0,0
947,0,0,0,0,0
951,0,0,0,0,0
1103,0,0,0,0,0
972,0,0,0,0,0
973,0,0,0,0,0
974,0,0,0,0,0
975,0,0,0,0,0
960,0,0,0,0,0
1028,0,0,0,0,0
976,0,0,0,0,0
977,0,0,0,0,0
1020,0,0,0,0,0
994,656,151,811,42,0
995,0,0,0,0,0
1060,0,0,0,0,0
1005,0,0,0,0,0
1061,0,0,0,0,0
1062,0,0,0,0,0
1006,0,0,0,0,0
1088,0,0,0,0,0
1089,98,35,133,0,0
1076,0,0,0,0,0
1078,0,0,0,0,0
1033,0,0,0,0,0
1035,0,0,0,0,0
1037,0,0,0,0,0
1039,0,0,0,0,0
1067,0,0,0,0,0
1065,0,0,0,0,0
1066,170,109,279,7,0
1100,0,0,0,0,0
1105,0,0,0,0,0
1107,0,0,0,0,0
1111,0,0,0,0,0
1121,0,0,0,0,0
1119,0,0,0,0,0
207,41,48,90,0,0
431,0,0,0,0,0
387,267,89,357,21,0
179,0,0,0,0,0
606,160,71,232,11,0
925,1365,271,1663,156,0
541,145,92,241,16,0
797,205,68,273,0,0
627,328,313,653,52,0
173,0,0,0,0,0
636,876,410,1286,71,0
205,0,0,0,0,0
814,0,0,0,0,0
881,0,14,14,0,0
771,1178,422,1655,241,0
533,5,0,5,0,0
447,103,67,170,4,0
815,0,0,0,0,0
801,1717,498,2239,174,0
800,0,0,0,0,0
389,219,161,380,17,0
695,1251,417,1669,141,0
1157,0,0,0,0,0
816,106,140,246,9,0
833,165,193,358,15,0
870,208,110,318,29,0
927,0,4,4,0,0
961,1432,478,1922,125,0
962,0,0,0,0,0
1079,62,41,103,0,0
1101,161,100,261,7,0
666,1119,386,1542,206,0
392,0,0,0,0,0
790,0,0,0,0,0
650,378,131,527,27,0
876,1084,171,1294,38,0
944,0,0,0,0,0
952,507,372,879,0,0
54,0,0,0,0,0
367,0,0,0,0,0
538,627,258,910,77,0
557,274,62,344,23,0
653,137,164,307,15,0
647,276,138,420,17,0
978,1126,398,1548,106,0
996,258,119,383,22,0
729,2177,670,2859,286,0
182,0,0,0,0,0
633,687,320,1007,0,0
685,737,254,1006,74,0
683,308,110,425,27,0
945,347,103,455,23,0
953,0,0,0,0,0
1022,0,0,0,0,0
1049,0,0,0,0,0
1151,258,101,359,0,0
794,1689,493,2205,209,0
415,0,0,0,0,0
592,248,112,366,0,0
497,0,0,0,0,0
726,594,184,786,44,0
272,0,0,0,0,0
805,1653,400,2086,173,0
64,0,0,0,0,0
842,207,55,262,0,0
843,114,62,176,4,0
1127,561,327,901,35,0
1158,189,77,266,0,0
803,630,139,777,35,0
211,0,0,0,0,0
773,991,264,1303,209,0
424,403,177,585,49,0
298,428,257,685,31,0
594,0,0,0,0,0
237,0,0,0,0,0
16,0,0,0,0,0
768,66,21,87,4,0
617,683,224,918,45,0
297,0,0,0,0,0
105,0,0,0,0,0
544,343,80,426,14,0
804,702,148,855,41,0
104,0,0,0,0,0
20,0,0,0,0,0
550,0,0,0,0,0
112,0,0,0,0,0
818,0,0,0,0,0
882,0,0,0,0,0
914,0,0,0,0,0
928,0,0,0,0,0
964,948,172,1122,58,1
1026,0,0,0,0,0
1068,0,0,0,0,0
1108,124,21,145,5,0
404,0,0,0,0,0
270,213,139,352,10,0
676,355,107,467,29,0
709,729,253,994,74,0
754,2301,655,2987,325,0
997,244,52,296,16,0
1069,0,0,0,0,0
1118,228,27,255,11,0
1116,1853,619,2493,220,0
734,1078,270,1363,40,0
299,0,0,0,0,0
645,0,0,0,0,0
17,0,0,0,0,0
1046,0,0,0,0,0
420,0,0,0,0,0
802,0,0,0,0,0
266,321,100,426,9,0
769,0,0,0,0,0
776,0,0,0,0,0
640,385,81,462,18,0
315,0,0,0,0,0
40,0,0,0,0,0
508,0,0,0,0,0
46,0,0,0,0,0
590,599,81,685,29,0
777,442,64,507,17,0
897,2809,474,3347,300,1
965,0,0,0,0,0
671,0,0,0,0,0
376,38,24,62,2,0
621,288,98,394,25,0
793,2671,777,3498,278,1
1102,152,88,240,5,0
1147,0,0,0,0,0
712,401,172,582,45,0
32,0,0,0,0,0
361,0,0,0,0,0
486,0,0,0,0,0
595,408,138,553,38,0
433,126,27,153,4,0
1058,0,0,0,0,0
261,0,0,0,0,0
730,720,182,907,49,0
577,793,216,1030,51,0
788,1516,413,1974,220,0
865,353,118,488,27,0
979,0,0,0,0,0
998,0,0,0,0,0
1072,0,0,0,0,0
221,0,0,0,0,0
506,76,24,100,0,0
727,394,176,582,31,0
355,0,0,0,0,0
487,0,0,0,0,0
938,1342,308,1684,145,0
835,25,20,45,2,0
999,0,0,0,0,0
798,1995,498,2516,205,0
504,0,0,0,0,0
247,164,122,286,0,0
216,88,95,185,6,0
65,0,0,0,0,0
472,97,9,107,4,0
427,0,0,0,0,0
491,37,39,76,0,0
551,44,29,73,0,0
106,0,0,0,0,0
819,0,0,0,0,0
836,0,0,0,0,0
915,0,0,0,0,0
942,0,0,0,0,0
1140,0,0,0,0,0
748,1569,400,2007,163,0
198,0,0,0,0,0
871,357,92,449,16,0
948,16,22,38,0,0
1051,0,0,0,0,0
1083,0,0,0,0,0
1096,0,0,0,0,0
1159,0,0,0,0,0
679,852,309,1173,101,0
176,0,0,0,0,0
537,0,0,0,0,0
608,227,95,325,16,0
596,113,49,162,4,0
749,0,0,0,0,0
758,3181,792,4073,358,0
1104,1386,370,1792,183,0
567,0,0,0,0,0
677,0,0,0,0,0
670,0,0,0,0,0
588,0,0,0,0,0
753,4073,954,5141,531,0
887,0,0,0,0,0
245,706,298,1010,96,0
603,326,293,627,28,0
426,0,0,0,0,0
232,1205,658,1880,121,0
288,0,0,0,0,0
246,314,207,524,9,0
284,298,223,524,21,0
18,0,0,0,0,0
356,0,0,0,0,0
401,0,0,0,0,0
733,1538,447,2022,146,0
243,0,0,0,0,0
380,0,0,0,0,0
716,0,0,0,0,0
534,0,0,0,0,0
185,0,0,0,0,0
258,0,0,0,0,0
505,0,0,0,0,0
268,0,0,0,0,0
602,489,255,751,65,0
254,236,252,491,26,0
705,531,227,784,17,0
133,1219,461,1688,32,0
33,0,0,0,0,0
143,0,0,0,0,0
36,0,0,0,0,0
756,459,132,594,14,0
662,1317,289,1618,59,0
192,0,0,0,0,0
382,0,0,0,0,0
322,0,0,0,0,0
478,0,0,0,0,0
352,0,0,0,0,0
628,850,268,1141,112,0
495,0,0,0,0,0
845,666,189,866,52,0
498,173,71,254,12,0
314,0,0,0,0,0
720,0,0,0,0,0
721,1211,323,1546,96,0
485,0,0,0,0,0
273,18,12,30,0,0
846,1005,184,1211,94,0
847,0,0,0,0,0
848,979,570,1565,23,0
916,0,0,0,0,0
930,364,131,502,37,0
954,1212,244,1477,178,0
943,0,0,0,0,0
949,3928,1498,5547,489,0
980,969,368,1347,7,0
981,0,0,0,0,0
1024,1041,257,1298,72,0
1017,0,0,0,0,0
1000,0,0,0,0,0
1018,879,220,1121,61,0
1001,324,248,572,0,0
1007,1402,418,1849,75,0
1008,563,153,717,31,0
1010,664,186,854,21,0
1011,462,124,600,30,0
1012,1079,257,1359,90,0
1013,2327,504,2873,175,0
1041,0,0,0,0,0
1073,1956,377,2346,147,0
1087,1670,245,1923,115,0
1109,564,131,698,36,0
1110,1003,275,1298,22,0
1112,0,0,0,0,0
1120,0,0,0,0,0
1156,0,0,0,0,0
1155,0,0,0,0,0
1148,192,62,258,7,0
1126,1674,362,2052,113,0
,0,0,0,0,0
1152,0,0,0,0,0
789,0,0,0,0,0
326,0,0,0,0,0
442,605,413,1035,0,0
294,226,166,396,28,0
378,160,158,322,15,0
402,0,0,0,0,0
29,0,0,0,0,0
450,0,0,0,0,0
656,516,186,708,43,0
333,0,0,0,0,0
684,706,220,926,58,0
422,0,0,0,0,0
763,2676,1078,4003,510,0
741,1117,286,1405,51,0
553,1928,550,2495,188,0
899,0,0,0,0,0
900,0,0,0,0,0
950,0,0,0,0,0
966,151,114,265,11,0
967,0,0,0,0,0
982,0,0,0,0,0
1014,0,0,0,0,0
1080,835,353,1208,85,0
1074,0,0,0,0,0
1084,0,0,0,0,0
1113,12,13,25,0,0
1137,0,0,0,0,0
1142,370,172,542,27,0
722,5369,1459,6936,693,0
660,0,0,0,0,0
75,0,0,0,0,0
249,359,314,684,36,0
227,309,269,588,44,0
150,0,0,0,0,0
47,0,0,0,0,0
172,0,0,0,0,0
581,294,136,435,18,0
120,0,0,0,0,0
445,0,0,0,0,0
471,0,0,0,0,0
53,0,0,0,0,0
199,0,0,0,0,0
575,798,285,1084,53,0
528,391,96,492,14,0
631,1182,445,1633,76,0
699,0,0,0,0,0
823,0,0,0,0,0
849,0,0,0,0,0
869,0,0,0,0,0
955,0,0,0,0,0
983,0,0,0,0,0
1002,0,0,0,0,0
1015,1923,599,2545,219,0
1153,0,0,0,0,0
51,0,0,0,0,0
441,0,0,0,0,0
327,0,0,0,0,0
690,205,84,290,13,0
262,88,39,129,5,0
403,0,0,0,0,0
312,0,0,0,0,0
589,291,81,373,10,0
665,704,137,857,0,0
334,0,0,0,0,0
1075,3048,529,3638,295,0
751,889,322,1231,95,0
186,0,0,0,0,0
646,100,22,125,10,0
536,51,13,64,4,0
242,0,5,5,0,0
490,0,0,0,0,0
500,132,62,194,3,0
206,0,0,0,0,0
58,0,0,0,0,0
572,604,101,709,26,0
180,0,0,0,0,0
549,62,24,86,0,0
582,156,50,209,0,0
743,1082,258,1368,123,0
795,0,0,0,0,0
269,0,0,0,0,0
634,0,0,0,0,0
1,0,0,0,0,0
717,202,59,263,20,0
373,0,0,0,0,0
824,1630,264,1925,188,0
888,131,27,158,5,0
902,0,0,0,0,0
968,0,0,0,0,0
1154,252,69,326,14,0
1130,0,0,0,0,0
1141,0,0,0,0,0
1145,0,0,0,0,0
1122,0,0,0,0,0
1133,0,0,0,0,0
346,0,0,0,0,0
27,0,0,0,0,0
165,0,0,0,0,0
956,589,240,851,64,0
413,0,0,0,0,0
149,0,0,0,0,0
612,642,653,1295,52,0
559,0,0,0,0,0
7,0,0,0,0,0
283,0,0,0,0,0
37,0,0,0,0,0
153,0,0,0,0,0
547,934,271,1225,57,0
556,694,224,922,45,0
42,0,0,0,0,0
31,0,0,0,0,0
740,3559,436,4075,402,1
217,0,0,0,0,0
863,0,0,0,0,0
889,0,0,0,0,0
984,0,0,0,0,0
1146,0,0,0,0,0
34,0,0,0,0,0
791,73,60,135,5,0
430,0,0,0,0,0
715,51,21,71,2,0
521,0,0,0,0,0
524,36,43,79,0,0
432,0,0,0,0,0
19,40,74,114,46,0
25,0,0,0,0,0
26,0,0,0,0,0
890,983,261,1271,121,0
904,346,112,458,11,0
957,2667,778,3488,247,0
939,1452,332,1790,136,0
236,103,89,192,7,0
735,2221,529,2782,240,0
146,0,0,0,0,0
363,0,0,0,0,0
187,0,0,0,0,0
265,0,0,0,0,0
295,0,0,0,0,0
496,560,103,663,18,0
391,0,0,0,0,0
240,0,0,0,0,0
448,55,21,76,1,0
425,24,14,38,0,0
300,0,0,0,0,0
339,205,120,321,4,0
874,262,135,405,20,0
905,1712,419,2181,223,0
1123,0,0,0,0,0
736,2242,642,2942,199,1
459,0,0,0,0,0
320,0,0,0,0,0
45,0,0,0,0,0
618,270,71,339,8,0
463,0,0,0,0,0
891,102,133,235,7,0
958,661,188,861,72,0
244,0,0,0,0,0
28,0,0,0,0,0
444,0,0,0,0,0
479,0,0,0,0,0
285,23,19,42,0,0
253,1074,418,1583,154,0
481,107,75,184,5,0
540,207,85,292,12,0
332,0,0,0,0,0
41,0,0,0,0,0
510,0,0,0,0,0
305,0,0,0,0,0
708,671,187,869,42,0
755,3873,1323,5251,567,1
750,2476,661,3163,247,0
696,1706,437,2171,202,1
421,0,0,0,0,0
827,0,0,0,0,0
933,0,0,0,0,0
1030,420,375,795,43,0
1003,0,0,0,0,0
1050,0,0,0,0,0
1043,1721,753,2517,167,0
1128,209,89,300,11,0
1125,0,0,0,0,0
1135,0,0,0,0,0
934,425,117,546,34,0
629,943,339,1307,169,0
21,0,0,0,0,0
615,575,159,733,30,0
626,167,149,323,8,0
417,0,0,0,0,0
597,62,32,94,1,0
539,1184,293,1477,100,0
343,0,0,0,0,0
135,0,0,0,0,0
158,0,0,0,0,0
775,724,224,972,68,0
177,0,0,0,0,0
578,75,48,123,0,0
416,0,0,0,0,0
561,202,64,268,10,0
62,0,0,0,0,0
828,0,0,0,0,0
860,12,9,21,0,0
935,0,0,0,0,0
936,0,0,0,0,0
986,0,0,0,0,0
987,439,153,592,20,0
1021,0,0,0,0,0
1085,0,0,0,0,0
658,381,114,495,0,0
353,0,0,0,0,0
323,0,0,0,0,0
620,371,85,457,22,0
384,0,0,0,0,0
554,760,216,987,60,0
209,0,0,0,0,0
707,2099,622,2752,214,0
395,0,0,0,0,0
969,0,0,0,0,0
1052,0,0,0,0,0
739,3263,1330,4632,512,0
613,823,280,1106,63,0
593,0,0,0,0,0
704,929,301,1279,188,0
686,949,298,1244,67,0
257,822,617,1475,101,0
681,0,0,0,0,0
286,0,0,0,0,0
255,206,78,285,18,0
79,0,0,0,0,0
81,0,0,0,0,0
688,747,285,1040,48,0
531,518,156,725,10,0
514,114,82,197,4,0
499,0,0,0,0,0
532,531,141,678,34,0
190,0,0,0,0,0
598,205,46,249,10,0
260,1385,1256,2631,218,0
838,0,0,0,0,0
839,0,0,0,0,0
851,0,0,0,0,0
852,1093,309,1405,67,0
988,0,0,0,0,0
1056,1037,249,1308,69,0
1044,0,0,0,0,0
1114,0,0,0,0,0
1129,997,310,1237,46,0
644,1384,365,1770,165,0
752,869,247,1129,111,0
238,0,0,0,0,0
325,0,0,0,0,0
622,165,58,225,15,0
879,0,0,0,0,0
906,149,169,323,12,0
370,0,0,0,0,0
418,0,0,0,0,0
574,0,0,0,0,0
399,0,0,0,0,0
195,0,0,0,0,0
783,1934,329,2292,171,0
263,0,0,0,0,0
194,0,0,0,0,0
214,0,0,0,0,0
785,3653,593,4303,365,0
780,0,0,0,0,0
782,0,0,0,0,0
369,0,0,0,0,0
713,0,0,0,0,0
941,0,0,0,0,0
1091,0,0,0,0,0
1045,207,61,267,4,0
1086,1044,233,1277,0,0
1149,0,0,0,0,0
937,550,223,789,32,0
1004,0,0,0,0,0
737,1512,370,1918,143,0
765,3113,481,3672,407,0
329,0,0,0,0,0
87,0,0,0,0,0
527,0,0,0,0,0
562,0,0,0,0,0
251,7,12,19,0,0
129,0,0,0,0,0
154,0,0,0,0,0
516,463,264,735,0,0
184,0,0,0,0,0
652,0,0,0,0,0
637,155,55,213,16,0
88,0,0,0,0,0
907,0,0,0,0,0
970,0,0,0,0,0
1019,0,0,0,0,0
1016,383,263,649,36,0
1047,978,255,1233,67,0
635,1771,705,2491,127,0
