,nombre_zapatillas,precio_min,precio_max,diferencia,fecha_recoleccion
23,Adidas Originales TOBACCO JR2743 Noche Índigo Noche Índigo,173.16,173.16,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
24,Adidas Originals Sl 72 Sr Blu - Taglia 41 1/3 [7.5 US 25.5cm] Scarpe Uomo,99.9,99.9,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
25,Adidas Stabil Next Generation Hombre Zapatos de Interior Voleibol Bádminton Nuevos con Etiquetas HR1344,165.52,165.52,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
26,Adidas Originals LA Trainer Hombre en Bermellón Rojo Y Plateado Talla UK 8.5,173.16,173.16,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
27,Adidas Originals ZX 750 Zapatillas En Blanco Roto y Verde Talla UK 13,167.22,167.22,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
28,Zapatillas adidas Originals GAZELLE VINTAGE rojas hombre FU9657,119.9,119.9,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
29,Adidas Originals Adistar Amortiguador Zapatos en Gris Oscuro y Plateado,175.68,175.68,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
30,GZ4499 Adidas ULTRA 4D SHOES negro zapatos deportivos zapatillas Skrs,139.0,139.0,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
31,F36641 Adidas Ultraboost 4.0 DNA Negro Zapatillas Deportivas Zapatillas Para Correr Hombre,119.0,149.0,30.0,<built-in method now of type object at 0x00007FFAF86A12B0>
32,Adidas Hombres 7.5 NMD_V3 BOOST Zapatos Nube Blanco/Gris Dos HP9831 NUEVO,169.48,169.48,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
33,Adidas Copa Pure 2 Elite K Paquete de Energía Solar Beige Rojo Negro IF5443 Hombres Talla 12,138.56,138.56,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
34,"Botines de fútbol sin cordones Adidas X Crazyfast.1 LL FG GY7382 negros para hombre talla 8,5",127.47,127.47,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
35,Adidas Stan Smith Recon Calzado Blanco Off White Mesa IG1279 Talla para hombre,180.05,180.05,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
36,Adidas Originals Country Og Blu - Uomo Scarpe Sneakers Sportive,99.75,99.75,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
37,Adidas Hombres 14 NMD_V3 BOOST Zapatos Nube Blanco/Gris Dos HP9831 NUEVO,169.48,169.48,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
38,Adidas F50 PRO Zapatos de Fútbol Sin Cordones TF Para Hombres Césped IH5814 ✅Tamaño Múltiple✅Acelerado,158.51,158.51,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
39,Adidas adiFOM RADLANDER - Gris / IH7372 / Zapatos para hombre acelerados,148.54,148.54,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
40,Brain Dead × Adidas Originals Stan Smith marrón claro IH3432 talla para hombre,225.31,344.95,119.63999999999999,<built-in method now of type object at 0x00007FFAF86A12B0>
41,adidas Adilette Slides KoRn 30th Anniversary,99.9,99.9,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
42,adidas Originals Retropy E5 Alumina Black White Men Boost Casual Shoes IE8105,102.85,102.85,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
43,Adidas IG8280 Originals Traje Núcleo Negro Maravilla Beige Para Hombre [US9-13] Nuevo,136.61,136.61,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
44,[IG6648] Adidas Harden Vol. para hombre 8 'Después de horas',158.51,166.27,7.760000000000019,<built-in method now of type object at 0x00007FFAF86A12B0>
45,[IG6668] Zapatos de baloncesto Adidas para hombre Anthony Edwards 1 MX carbón *NUEVOS*,121.93,121.93,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
46,adidas Supernova Rise M Core Black Core White CArbon Men Running Shoes IG5844,116.16,116.16,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
47,adidas Ultraboost 19.5 DNA White Blue Men Unisex Running Casual Shoes GY8346,153.61,153.61,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
48,Adidas Harden Vol. para hombre 7 'Blanco Tiza' IE9257 Talla 11,132.97,132.97,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
49,Zapatillas Adidas Originales Japón en Blanco y Negro,161.49,161.49,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
50,Adidas Terrex Free Hiker 2 GTX botas zapatillas zapatos de senderismo para hombre HQ8384,149.9,149.9,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
51,adidas Neighborhood X Superstar 2024 Hombres Grey White Zapatillas,167.39,167.39,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
52,Adidas Codechaos Mens Golf Shoes (D Standard) (EE9101),111.07,111.07,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
53,Zapatillas para hombre adidas UltraBoost 21 Gore-Tex GTX (S23700) NUEVAS,139.95,139.95,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
54,Scarpe Adidas  Stan Smith Codice M20325 - 9M,106.0,106.0,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
55,ID8266 Adidas Originals Adimatic Grey One Core Black Grey Three (para hombre),137.98,228.44,90.46000000000001,<built-in method now of type object at 0x00007FFAF86A12B0>
56,adidas Originals Samba OG Cardboard Brown Men Casual Lifestyle Shoes IG1379,153.99,153.99,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
57,Adidas Pro Model Zapatos JH7147 Preloved Marrón/Núcleo Negro/Marfil,171.82,171.82,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
58,Adidas Originals SL 72 RS Spark Core Negro Blanco IH7912 Hombres Talla,174.13,174.13,0.0,<built-in method now of type object at 0x00007FFAF86A12B0>
59,IH3241 Adidas Originals Jamaica Rusta Negro (Hombre),171.78,294.23,122.45000000000002,<built-in method now of type object at 0x00007FFAF86A12B0>
