,Age,Gender,AnnualIncome,NumberOfPurchases,ProductCategory,TimeSpentOnWebsite,LoyaltyProgram,DiscountsAvailed,PurchaseStatus
45,61,Female,114517.37901000072,12,Clothing,30.98195957429383,No,0,No
46,62,Male,67931.93221242339,11,Sports,58.26272557298126,No,5,Yes
47,53,Female,67808.71561404766,17,Electronics,32.09595923306126,No,5,Yes
48,18,Female,129969.78715810516,14,Clothing,15.87649339449767,No,4,Yes
49,47,Female,104216.2679787687,13,Clothing,56.84931579392198,Yes,4,Yes
50,52,Male,40534.12696859524,1,Clothing,54.28825075264435,No,2,No
51,25,Male,29263.374609483617,2,Beauty,13.278256041185994,No,4,No
52,18,Female,38570.53734910901,5,Beauty,23.847516844005025,No,5,No
53,40,Male,33711.580994361975,16,Sports,11.79069013105145,Yes,4,No
54,22,Male,32401.90605071738,10,Electronics,42.616025841452974,No,3,Yes
55,35,Male,80147.82865850115,12,Home Goods,40.97033790015843,No,0,Yes
56,32,Female,90421.62561330052,15,Beauty,58.75625381107409,No,0,Yes
57,42,Female,108080.49476966391,9,Clothing,21.04186449029564,No,3,No
58,47,Female,75279.6641069002,8,Home Goods,51.850939535977176,No,4,Yes
59,31,Male,95411.5485070291,12,Electronics,57.81060641650421,Yes,2,Yes
60,33,Female,26258.568677185947,19,Beauty,12.922775229104726,No,5,No
61,23,Male,118155.45073701616,16,Home Goods,1.4036041407534494,No,2,No
62,52,Female,116034.00959445364,0,Sports,21.42040150970005,Yes,3,Yes
63,66,Female,118928.7988036522,16,Clothing,41.05435289413832,No,2,No
64,55,Male,56724.4885764708,15,Electronics,54.99486114049874,No,4,Yes
65,59,Female,77136.51952227831,6,Beauty,54.91870112898598,No,3,Yes
66,62,Female,62288.36742299405,8,Electronics,11.599760984373914,No,0,No
67,40,Female,124336.13834537569,10,Home Goods,6.458480649802572,No,0,No
68,57,Female,56722.23671701347,1,Beauty,7.736843033990797,Yes,1,No
69,45,Female,101410.4617847383,19,Sports,25.433759360166803,Yes,2,No
70,33,Female,53837.29148358039,16,Sports,18.611092786422837,Yes,4,Yes
71,70,Male,119425.2741173894,4,Beauty,45.35588065466813,No,5,No
72,43,Male,86607.29108095278,14,Sports,40.27337953693163,No,2,No
73,42,Female,25069.481634738506,15,Clothing,1.7973048960647715,No,1,No
74,43,Female,66806.56056712719,20,Sports,55.59200349279615,Yes,0,Yes
75,65,Male,36226.70581569028,12,Sports,30.7072971665818,Yes,1,No
76,68,Female,118640.91298845228,13,Home Goods,11.475917263080143,No,5,No
77,40,Female,118450.32692747706,9,Beauty,43.45517426021217,Yes,5,Yes
78,64,Female,118052.2737586705,11,Beauty,56.20920642994847,No,3,Yes
79,24,Female,22837.041580813635,17,Home Goods,18.84134867793141,No,4,No
80,22,Female,86465.81008609766,20,Home Goods,53.63147275237195,No,3,Yes
81,40,Male,98472.83607271875,20,Electronics,53.05186978022514,No,2,No
82,25,Male,44363.55273268569,4,Beauty,7.011613484321616,Yes,1,No
83,68,Male,41751.76952013785,19,Beauty,14.812057233267794,No,3,No
84,68,Male,55711.49595622596,15,Beauty,22.18104531667656,No,5,No
85,43,Male,33234.4787834398,20,Clothing,51.35446763895064,No,4,No
86,23,Female,39149.39575626615,2,Clothing,26.425538854581287,No,4,No
87,26,Female,107636.9384196882,1,Home Goods,14.377319387003324,No,0,No
88,35,Female,70116.54761579991,4,Sports,40.45158220897569,Yes,2,Yes
89,70,Male,85814.58773437636,19,Electronics,13.078447783049937,Yes,0,No
90,31,Female,67812.17840829988,6,Beauty,49.3060618126673,No,1,Yes
91,43,Male,118837.67700587754,3,Clothing,8.367334537449437,Yes,0,No
92,43,Female,69986.47259382563,19,Home Goods,55.46726532853663,Yes,4,Yes
93,27,Female,103956.91021724296,2,Electronics,32.59243202976029,No,1,No
94,36,Female,144485.53196089625,19,Home Goods,31.01282450303318,No,4,No
95,31,Female,115923.0374129989,2,Clothing,35.61813901907323,No,1,No
96,58,Female,111633.23130563962,8,Clothing,44.237461899072514,No,5,Yes
97,47,Female,49291.20089366056,13,Sports,1.2872360516746904,No,4,No
98,29,Male,64518.237248512734,6,Beauty,54.11842213489496,No,1,Yes
99,44,Male,114377.3882980884,16,Electronics,5.619798558293892,Yes,5,Yes
100,54,Female,90906.14302289773,3,Clothing,51.63019657657261,Yes,0,No
101,24,Male,98084.63865128628,19,Electronics,4.63880043363649,No,0,No
102,54,Male,28320.82505912072,3,Clothing,47.31540333628746,Yes,4,Yes
103,55,Male,29911.09833656338,15,Home Goods,34.0233287197705,No,5,No
104,29,Male,149326.50821557362,20,Sports,3.5625680769026102,No,3,Yes
105,23,Male,142681.2070666287,12,Home Goods,25.50042481679641,No,2,No
106,25,Female,65146.01507396598,6,Clothing,38.490247321475344,No,4,Yes
107,54,Female,113399.0131519315,11,Electronics,29.652213307895405,No,1,No
108,18,Female,26716.933815534943,6,Beauty,29.218736383151537,No,0,No
109,34,Female,145241.27644776157,10,Home Goods,28.629734895926724,No,2,No
110,62,Female,93492.9330943093,0,Electronics,26.36083551484617,No,3,No
111,70,Female,59135.99011846069,5,Beauty,18.858073412346524,No,0,Yes
112,58,Female,90382.98895518608,5,Beauty,41.27335750709702,No,2,No
113,36,Male,29825.869801028704,5,Electronics,42.94276549717196,No,4,Yes
114,23,Female,20017.51009058309,5,Beauty,23.93181028958608,No,5,No
115,52,Male,22722.844934018667,18,Home Goods,50.149021572523125,No,3,No
116,33,Male,96410.01691208578,14,Clothing,21.25928958489978,No,0,No
117,47,Male,43065.7400310619,7,Electronics,17.226461576780068,Yes,2,No
118,40,Female,36167.89187006633,20,Electronics,49.71060206951388,No,2,No
119,52,Male,69898.28375129572,12,Clothing,43.32499366971543,No,4,Yes
120,57,Female,112561.8226430015,8,Electronics,18.0590663867069,Yes,0,No
121,64,Female,132261.17792689087,13,Beauty,35.30578292778883,No,1,No
122,43,Male,45897.9857362269,1,Sports,24.79849399655484,No,2,No
123,41,Male,70461.54179650941,11,Home Goods,40.9832109259442,Yes,1,Yes
124,65,Female,26529.38149031659,18,Beauty,6.586178439782908,No,4,No
125,68,Female,30007.330718445613,19,Beauty,9.673882339086935,Yes,5,No
126,19,Female,24590.47614223108,1,Beauty,14.971057541914629,No,5,No
127,38,Male,115929.2611360233,20,Beauty,44.229310848377615,No,5,Yes
128,53,Female,30017.576287463053,14,Beauty,35.3520094793526,No,4,No
129,64,Male,112523.96474698634,9,Sports,16.40067510061504,Yes,4,Yes
130,70,Female,86224.87665947266,13,Electronics,56.32202617637893,No,2,No
131,21,Female,36652.447027606,16,Sports,44.28492758150246,Yes,2,Yes
132,58,Female,143569.03683620645,20,Clothing,53.43604449201496,No,4,Yes
133,56,Male,95610.89808859516,5,Sports,35.65351968333865,No,1,No
134,32,Male,88939.27732239058,18,Clothing,31.73226117934007,Yes,1,Yes
135,18,Female,34941.28961774369,4,Clothing,51.11840136578476,No,1,No
136,22,Male,37476.56682305584,2,Clothing,13.2883828340592,No,3,No
137,64,Male,130545.2401455864,18,Home Goods,40.64659213769602,No,3,Yes
138,68,Male,21910.140525144,10,Clothing,27.688829270244256,Yes,1,No
139,39,Male,126226.65846202608,19,Home Goods,20.842177570411238,No,3,Yes
140,44,Female,121888.77952293394,18,Home Goods,23.25354871527037,No,2,No
141,70,Female,86446.78810083987,2,Clothing,27.1783853747504,Yes,2,No
142,50,Male,136101.72667540394,13,Clothing,55.20609098345084,No,2,No
143,43,Female,114767.53801525614,12,Home Goods,50.4096027952493,No,2,No
144,25,Male,72231.24408506215,0,Home Goods,16.826771176416337,Yes,3,Yes
145,60,Male,54492.39788221071,14,Home Goods,18.10556099534869,No,4,No
146,65,Female,55499.20529646561,20,Sports,12.778099651935134,No,5,No
147,31,Male,51356.18948794039,13,Sports,32.94039566537178,No,1,Yes
148,52,Female,149123.1520049853,8,Beauty,47.40842477905888,No,2,No
149,38,Female,56530.58485813277,9,Beauty,43.55224358243608,Yes,5,Yes
150,57,Female,79069.05349279492,8,Sports,43.22162230133536,No,2,No
151,55,Female,37596.03069609912,18,Clothing,42.4228714461853,Yes,4,Yes
152,40,Female,31322.05968345029,20,Clothing,9.333378183566882,No,2,No
153,65,Male,57988.36996004671,5,Electronics,49.279730056923526,No,3,No
154,46,Male,84195.82525940074,12,Clothing,13.355642578489402,No,3,No
155,43,Male,101042.7745607272,14,Sports,1.596751467989313,No,5,No
156,28,Male,114836.06972481158,20,Clothing,4.121538562969199,No,2,No
157,49,Female,135205.45146045968,20,Beauty,6.459184707636429,No,0,No
158,32,Female,58387.76422623263,15,Clothing,36.43579112204377,Yes,5,Yes
159,69,Female,120245.96606074524,13,Sports,33.5869683450824,No,2,No
160,40,Male,136232.2593293226,0,Sports,4.728108477196455,No,3,No
161,34,Female,102069.98190195853,16,Sports,41.1183308952732,Yes,5,Yes
162,26,Female,107903.08306980642,7,Home Goods,20.97806251764532,No,1,No
163,68,Male,102507.2655230124,6,Electronics,52.12061273169345,No,1,No
164,64,Male,72985.9471145962,1,Clothing,50.15830792734178,No,4,No
165,44,Female,85798.44216923173,9,Electronics,20.955627071719807,No,3,No
166,18,Male,29053.349261112744,17,Clothing,35.68623716879406,No,3,Yes
167,47,Male,73287.63566051747,9,Electronics,57.5859702946618,No,3,Yes
168,53,Male,55997.58335911516,17,Home Goods,13.401326154411937,Yes,1,No
169,50,Female,76422.5176026038,12,Sports,15.679026761435727,Yes,4,Yes
170,51,Male,85052.14894232617,12,Sports,30.481310586691347,No,4,Yes
171,33,Male,79662.26715758664,4,Sports,36.7930302567762,Yes,2,No
172,53,Female,21575.700703706127,10,Sports,59.90080663768644,No,1,No
173,52,Male,79310.74616422047,3,Home Goods,11.409946457750667,No,0,No
174,27,Male,145689.9149739071,18,Sports,22.548447649156035,No,3,Yes
175,40,Male,30850.331048619828,7,Beauty,35.510922744744576,Yes,4,Yes
176,39,Male,98812.88190762707,3,Home Goods,46.30470545438897,Yes,5,Yes
177,20,Male,76422.72645213865,13,Sports,41.93871558397535,Yes,1,No
178,69,Female,41411.82594619847,16,Beauty,37.80087983916815,Yes,5,Yes
179,57,Male,86801.08034687981,7,Electronics,24.02698661112505,No,5,No
180,52,Female,34798.99115195818,5,Clothing,6.524340706684125,Yes,1,No
181,31,Male,122381.3811616413,1,Home Goods,42.81915662946309,No,4,Yes
182,56,Female,48679.553852457466,17,Clothing,10.110529694813566,No,3,No
183,45,Male,103533.4759395749,5,Beauty,27.53094165383948,No,4,No
184,53,Male,99329.26943209337,3,Home Goods,54.79194305215633,Yes,0,No
185,38,Female,30549.39320971109,0,Electronics,54.24998477573424,No,2,Yes
186,21,Female,82574.73971259207,9,Electronics,24.667730200016056,No,0,No
187,37,Male,122519.94540741284,5,Beauty,21.34141624709257,No,5,No
188,66,Male,41090.34275172232,3,Clothing,16.37983430669502,No,5,No
189,54,Male,97162.92159924218,11,Home Goods,32.24478816204781,Yes,1,Yes
190,36,Male,123789.44426738584,2,Clothing,54.07125314068228,No,5,Yes
191,21,Male,73640.83931032108,3,Beauty,31.359145630549605,No,3,Yes
192,47,Female,58647.802739953375,6,Electronics,47.64348560877816,No,5,No
193,24,Male,94343.39525953426,2,Beauty,40.19602262973525,Yes,2,Yes
194,32,Male,134714.12789295404,7,Clothing,16.707658588429805,No,2,No
195,22,Male,147050.02803889549,2,Electronics,29.4551881157764,No,2,No
196,50,Male,81923.64532914283,5,Electronics,33.09776795237996,No,4,No
197,27,Male,120479.79264389497,19,Home Goods,15.743368779423108,No,1,No
198,43,Female,147283.6419419701,12,Electronics,48.01483264629528,No,3,Yes
199,22,Male,87622.08600039766,2,Clothing,24.942913439816024,No,2,No
200,48,Male,35383.70482004035,10,Clothing,53.03655775329584,No,3,No
201,66,Female,141127.98352626612,0,Clothing,1.1288644285776774,No,3,No
202,41,Female,108740.23875904232,8,Clothing,37.69854213972985,No,0,No
203,58,Female,122052.1506988174,17,Sports,21.254757182548715,No,2,No
204,39,Female,106829.59984447152,9,Electronics,44.36654279720083,No,1,Yes
205,68,Male,63219.300429332565,20,Home Goods,55.69324544598309,Yes,4,Yes
206,63,Male,73773.54773942259,7,Beauty,4.540483362751696,Yes,3,Yes
207,27,Male,56955.632080577176,3,Clothing,50.36705148248336,No,0,No
208,66,Male,60536.09730108375,16,Home Goods,55.95726056320416,Yes,0,Yes
209,42,Male,42778.83037375756,17,Beauty,59.98534224231362,No,3,No
210,44,Female,126873.41087802932,7,Sports,23.24345500556593,No,4,No
211,70,Male,115856.42006041396,9,Home Goods,19.04299716573617,No,3,No
212,39,Female,84715.62604445772,9,Electronics,56.51169978218783,No,4,Yes
213,49,Male,118377.69573952256,19,Sports,7.829842728533153,Yes,5,Yes
214,38,Female,101457.02644211732,14,Sports,57.65286627058666,No,3,Yes
215,61,Male,109107.7048188472,13,Home Goods,4.43483321244504,Yes,4,Yes
216,23,Male,97095.76344428194,13,Sports,24.56650446282041,Yes,3,Yes
217,43,Male,63450.981430487904,13,Beauty,3.029789298754036,No,1,No
218,36,Male,44193.18432001605,17,Beauty,11.49515946533548,No,0,No
219,69,Female,125530.07245171788,14,Clothing,25.985438545710632,Yes,4,Yes
220,29,Male,145204.9645065926,4,Sports,47.2720066590963,No,4,Yes
221,54,Female,142288.30186499428,15,Beauty,9.585520722858073,Yes,5,Yes
222,66,Female,124832.47024026912,11,Beauty,39.3566801817336,No,3,Yes
223,42,Male,109457.51179125048,1,Home Goods,5.176694724659292,No,4,No
224,50,Male,37571.61759012696,13,Home Goods,28.35370238626354,No,2,No
225,21,Male,76396.26454494885,18,Home Goods,52.572437963524,Yes,5,Yes
226,35,Male,20996.324244399293,0,Home Goods,15.22279640554746,No,4,No
227,19,Female,28862.400220114163,19,Beauty,49.6770838294252,No,4,Yes
228,45,Female,135727.95034270268,14,Home Goods,40.91185646605225,Yes,0,Yes
229,40,Female,116574.59417683206,10,Home Goods,5.501844796270693,No,4,Yes
230,18,Female,61002.896447241656,0,Home Goods,46.83673114408749,No,1,No
231,27,Male,106996.0341819502,1,Sports,58.884759846297065,No,5,Yes
232,23,Female,23035.77252266417,17,Electronics,53.42988471635452,No,2,No
233,64,Female,62207.87049570779,2,Electronics,41.9379265506682,No,0,No
234,42,Male,76224.72418291715,9,Sports,24.479660436464677,No,4,No
235,38,Female,30519.506796662783,4,Sports,59.89379455227144,No,3,No
236,45,Female,129459.811875708,1,Home Goods,41.45345320664676,No,3,No
237,25,Female,60735.22928606861,8,Sports,21.58335457971213,No,5,Yes
238,32,Female,51451.11844101884,4,Sports,32.86467999340955,No,4,Yes
239,18,Female,118931.03005440097,1,Home Goods,33.43139220573812,Yes,0,Yes
240,48,Female,146863.58813830698,6,Electronics,17.759444953385312,No,2,No
241,20,Female,59303.32241569419,18,Clothing,6.569451078327691,No,4,Yes
242,39,Female,140524.38175159553,13,Home Goods,53.38243743297993,No,5,Yes
243,57,Female,79069.05349279492,8,Sports,43.22162230133536,No,2,No
244,28,Male,53070.90550944011,0,Clothing,18.854767792796544,Yes,2,No
245,70,Male,126922.47327246692,12,Home Goods,41.176244192811,Yes,4,Yes
246,43,Male,89293.75274199819,10,Sports,57.24566595985667,Yes,4,Yes
247,70,Male,123568.5816348784,5,Beauty,31.13029608238376,Yes,0,No
248,18,Female,24995.42536510225,15,Beauty,30.336522506179747,Yes,2,Yes
249,59,Female,86588.84970564768,6,Clothing,3.8366591407005615,No,2,No
250,38,Male,144269.4477641915,17,Clothing,34.15493848960112,No,4,Yes
251,68,Male,134789.1972278705,3,Electronics,5.462191466238418,No,3,Yes
252,65,Male,65922.68310526834,15,Beauty,34.861819031255955,Yes,0,Yes
253,50,Male,113878.62060926776,15,Electronics,32.954218445110726,No,5,Yes
254,22,Male,29992.069785901254,1,Clothing,26.42828448677424,Yes,4,No
255,48,Female,130295.2992817682,19,Beauty,57.51681246722325,Yes,2,Yes
256,52,Male,46909.03519699548,7,Electronics,30.447410828348783,No,3,No
257,65,Male,100913.77340357956,17,Clothing,56.92394307794506,Yes,4,Yes
258,53,Male,55985.86001286975,15,Beauty,53.24800717155225,No,5,Yes
259,51,Female,30094.413507308655,15,Clothing,40.28560820676036,No,1,No
260,51,Female,78415.46646515347,9,Clothing,47.99065440273076,No,4,Yes
261,28,Male,55151.12722998832,17,Clothing,34.01739448303871,Yes,0,Yes
262,37,Female,104411.90219499462,3,Sports,5.621296253803888,No,5,Yes
263,61,Male,81997.0138408361,1,Beauty,36.99255738200734,No,4,No
264,33,Male,33082.87220805933,15,Home Goods,7.901999736730198,Yes,1,No
265,61,Female,28540.33166406755,3,Sports,40.10435823187616,Yes,0,No
266,57,Male,135943.3788253955,9,Sports,13.191947908610612,No,3,No
267,18,Male,86356.22357055018,11,Clothing,35.40099338090647,Yes,0,Yes
268,25,Male,111342.39050111712,18,Clothing,44.992071618709616,No,2,Yes
269,43,Female,147555.02879133506,17,Sports,52.52534152220597,No,5,Yes
270,68,Male,136365.30629184973,6,Home Goods,2.947704218119308,No,0,No
271,43,Male,101042.7745607272,14,Sports,1.596751467989313,No,5,No
272,30,Male,130105.95104691786,16,Home Goods,27.17509917911577,No,1,No
273,50,Male,41425.926044826825,6,Electronics,29.865092824238697,Yes,2,No
274,56,Female,115264.20081961258,6,Clothing,57.21722896106448,No,3,Yes
275,24,Female,142778.31575025944,19,Sports,45.54856447415479,Yes,4,Yes
276,67,Male,110024.06746699927,8,Beauty,31.66141683787224,No,5,Yes
277,50,Female,109555.0892665118,20,Electronics,1.2184420031125942,Yes,3,Yes
278,30,Female,64611.75591244557,12,Clothing,40.71356953934719,No,2,Yes
279,56,Female,87768.48619503806,4,Clothing,22.018743781623023,No,3,No
280,60,Male,84072.39597816806,4,Sports,23.197533323310275,No,2,No
281,57,Female,57765.58573728465,9,Beauty,30.354229645619714,Yes,3,Yes
282,30,Male,55902.04251671693,19,Clothing,25.26848712954297,No,4,Yes
283,35,Female,126987.89465542976,6,Sports,44.66105020933456,No,3,No
284,29,Female,67976.89282891915,16,Sports,57.39828717090276,No,3,Yes
285,37,Female,125816.13503578244,14,Sports,27.322806130973003,No,4,Yes
286,22,Male,115866.38993379312,16,Sports,37.65236529832987,Yes,2,Yes
287,27,Male,90753.0155947807,20,Home Goods,51.66636951094185,No,5,No
288,43,Male,144286.12866955128,5,Sports,38.391491144229846,No,4,No
289,29,Male,127092.74994876832,7,Sports,55.96789573578212,No,3,Yes
290,49,Male,97118.80411395997,0,Sports,52.05237899286045,No,1,No
291,34,Female,58300.52152500511,17,Beauty,9.10089913335466,Yes,1,Yes
292,29,Female,116187.53569970097,2,Clothing,56.77311537484657,Yes,3,Yes
293,40,Male,87520.16173551185,15,Electronics,50.80696785362082,Yes,1,Yes
294,25,Male,40658.061797015966,18,Beauty,4.287951156358083,No,4,No
295,51,Female,61286.28338394516,4,Electronics,15.05435669306135,No,0,No
296,32,Male,113515.97090799062,5,Electronics,55.13514878118434,Yes,2,Yes
297,48,Male,38537.23873064814,3,Sports,4.684212223461524,No,0,No
298,36,Female,117347.42380522985,16,Home Goods,12.308607810986183,No,3,Yes
299,65,Female,55499.20529646561,20,Sports,12.778099651935134,No,5,No
300,38,Male,66615.19999823351,14,Clothing,27.072562853756622,No,2,No
301,42,Female,27417.11374966306,19,Clothing,52.26858719623288,No,0,No
302,58,Male,85760.85008373777,18,Beauty,27.507198270442338,Yes,1,No
303,53,Male,29230.99638932321,19,Clothing,30.10356881297504,No,0,No
304,50,Male,41425.926044826825,6,Electronics,29.865092824238697,Yes,2,No
305,50,Male,90082.29185568112,11,Clothing,46.92201451498596,No,3,Yes
306,56,Female,48679.553852457466,17,Clothing,10.110529694813566,No,3,No
307,29,Female,38095.571174940414,14,Beauty,49.68967133247868,Yes,4,Yes
308,23,Male,126812.79670236132,15,Clothing,17.17567822266571,No,1,No
309,30,Male,35795.178919119346,18,Electronics,4.226897299999791,No,1,No
310,40,Female,36414.41640338536,8,Clothing,48.522510699394616,No,5,No
311,66,Male,143685.8753470382,14,Beauty,52.594031093734905,No,2,No
312,33,Male,79564.29527592604,3,Electronics,26.970639393134395,No,5,No
313,42,Male,46061.68701869236,5,Electronics,9.289930883407004,Yes,0,No
314,20,Male,44443.215500004095,9,Home Goods,11.46373033792483,Yes,0,No
315,25,Male,40658.061797015966,18,Beauty,4.287951156358083,No,4,No
316,67,Male,80311.07898560326,18,Clothing,32.979597110316405,No,5,Yes
317,54,Male,120704.95905355364,15,Sports,30.11099532439032,Yes,1,Yes
318,46,Male,38573.87497412352,9,Beauty,58.25587438416175,No,4,No
319,42,Female,35626.93978567491,19,Home Goods,54.63469003090716,Yes,0,No
320,30,Female,131433.30340983788,1,Sports,8.40934405989948,No,0,No
321,50,Male,74383.40233329641,13,Clothing,52.09536825015686,No,2,No
322,21,Male,85774.52800554111,9,Home Goods,44.50500534980961,No,1,Yes
323,67,Male,73836.86782876051,0,Beauty,35.36949286900342,No,1,No
324,38,Male,132143.26124939328,14,Electronics,42.5463578154867,No,4,Yes
325,64,Female,74941.7956117692,2,Beauty,49.6318111694496,Yes,2,No
326,48,Female,66830.40944405562,0,Electronics,17.919245775915137,No,3,No
327,58,Female,133454.93256299823,5,Beauty,58.95310759526028,No,3,No
328,46,Male,50866.35088872482,19,Electronics,59.7415245177397,Yes,0,Yes
329,68,Male,104526.14201175992,8,Electronics,42.272521199315904,No,0,No
330,66,Female,117249.51332583916,3,Sports,7.326121258300759,No,2,No
331,56,Female,106914.44407397884,13,Clothing,58.35268079299888,Yes,0,Yes
332,65,Female,131818.16013542656,0,Home Goods,14.021245412334771,Yes,1,No
333,24,Male,35990.42836608693,11,Clothing,3.1960805695904204,No,2,No
334,20,Male,53787.64730156827,12,Clothing,36.51689982549269,No,3,Yes
335,45,Female,145322.2629253013,16,Beauty,34.37060813713456,No,0,No
336,40,Male,71551.97865869521,10,Beauty,32.60394364195861,No,3,Yes
337,49,Male,87170.79007941482,3,Sports,11.35920688044236,No,0,No
338,61,Female,33701.11835401468,6,Electronics,27.8523296309334,No,2,No
339,36,Male,42558.186948246126,9,Clothing,14.157579588490249,No,2,No
340,56,Female,59513.0321612941,15,Home Goods,11.061744884995328,Yes,3,Yes
341,64,Female,145821.80452985398,1,Electronics,16.27873469647354,No,1,No
342,25,Male,79992.07040121543,20,Beauty,18.696370898085757,No,1,No
343,29,Male,92161.0434092972,12,Sports,3.725592508896101,No,5,Yes
344,26,Female,57555.04205819154,7,Sports,44.99829028720018,No,2,Yes
345,66,Female,69452.07136615325,12,Electronics,40.177948953567736,No,1,No
346,46,Male,20001.5125181976,4,Home Goods,8.372437398957064,Yes,4,No
347,56,Female,29250.577072546264,18,Sports,3.942010013156553,No,2,No
348,44,Female,23308.20878774761,1,Electronics,7.047283422163556,Yes,1,No
349,35,Female,134345.6411436988,6,Electronics,3.189685877775834,Yes,4,Yes
350,28,Female,119388.6133051133,4,Clothing,39.27537319366832,Yes,5,Yes
351,36,Male,51446.19767364907,6,Beauty,3.044391879027008,Yes,2,Yes
352,26,Female,26806.15262437141,17,Sports,20.84722968077165,Yes,2,No
353,31,Female,79500.94867070823,16,Clothing,43.15917841949622,No,2,Yes
354,41,Male,40809.312544094486,20,Clothing,47.69041222825027,No,1,No
355,21,Male,87334.86860263527,4,Sports,33.49073899676816,Yes,4,Yes
356,56,Male,21317.05392360664,7,Clothing,24.050918688955974,No,4,No
357,39,Female,91438.8396663522,3,Home Goods,56.86593158412039,No,1,No
358,66,Female,111592.07564356788,2,Home Goods,27.29581562455804,No,5,No
359,62,Male,139460.4493731421,10,Home Goods,21.16318169722971,No,0,No
360,41,Female,119377.29464981557,18,Sports,33.798809007384904,No,3,Yes
361,32,Male,79756.43315234597,6,Beauty,23.89544998139646,Yes,3,Yes
362,62,Male,139162.58065935696,14,Beauty,40.20100340896799,Yes,4,Yes
363,46,Female,22494.995986997368,14,Beauty,56.91996789485297,Yes,1,No
364,48,Female,122216.1659199243,19,Electronics,8.17471030153537,No,2,No
365,59,Male,130046.86402973614,10,Sports,26.06221714992699,No,3,No
366,45,Female,65808.74305925507,14,Clothing,22.164894153219823,No,5,No
367,53,Female,95890.46146683452,2,Beauty,31.53836843817465,Yes,0,No
368,43,Male,145903.5410872699,1,Home Goods,5.191207862797133,No,4,No
