año,NCODI,Cód CCAA (Todas),Desc CCAA (Todas),FINALIDAD agrupada para Anonimización,Cód Grupo Finalidad,Desc Grupo Finalidad,Cód Finalidad,Cód Concierto,Desc Concierto,Cód Pertenencia SNS,Desc Pertenencia SNS
2020,174,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C12",2,"Concierto parcial",2,"Privados"
2020,523,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C1290",2,"Concierto parcial",2,"Privados"
2020,697,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,239,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,287,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,377,"04","ILLES BALEARS","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,692,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,435,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,423,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,351,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,810,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,830,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,892,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,921,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,991,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,992,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,993,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1070,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1095,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,1094,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,1124,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,473,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C123",1,"Sin concierto.",1,"Públicos-SNS"
2020,663,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,552,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,772,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,568,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,398,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C12",1,"Sin concierto.",1,"Públicos-SNS"
2020,394,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,614,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,235,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,616,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,267,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,565,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,220,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,278,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,107,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,711,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,204,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,348,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C12",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,766,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C12",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,761,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,728,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,280,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,222,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,276,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,11,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,302,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,682,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,279,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,282,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,281,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,183,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,610,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C12",1,"Sin concierto.",2,"Privados"
2020,116,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,115,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,114,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,119,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C12",1,"Sin concierto.",2,"Privados"
2020,770,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,583,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,136,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,469,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,642,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,674,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C123",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,193,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,526,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,698,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,630,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,124,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,364,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,439,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,570,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,123,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,310,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,571,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,296,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,566,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,784,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,102,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,639,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,457,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,811,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,812,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C122",1,"Sin concierto.",1,"Públicos-SNS"
2020,832,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,841,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,856,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,859,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",1,"Sin concierto.",2,"Privados"
2020,861,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,880,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,883,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,884,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,877,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",1,"Sin concierto.",1,"Públicos-SNS"
2020,270,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,676,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,709,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,754,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,997,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1069,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1118,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,609,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,101,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,454,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,318,"09","CATALUÑA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",1,"Sin concierto.",1,"Públicos-SNS"
2020,600,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,545,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,100,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,702,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,778,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,341,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,99,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,767,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,359,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,98,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,132,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,97,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,103,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,110,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,94,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,91,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,664,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,113,"16","PAÍS VASCO","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",1,"Sin concierto.",1,"Públicos-SNS"
2020,619,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,163,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,131,"16","PAÍS VASCO","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,375,"16","PAÍS VASCO","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,1090,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,764,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,14,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,657,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,362,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,989,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,990,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,680,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,411,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,241,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,918,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,92,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,95,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,301,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,492,"09","CATALUÑA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,558,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,248,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,224,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,591,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,586,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,453,"10","COMUNIDAD VALENCIANA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,145,"10","COMUNIDAD VALENCIANA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,511,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,530,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,6,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,161,"10","COMUNIDAD VALENCIANA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",1,"Sin concierto.",1,"Públicos-SNS"
2020,623,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,875,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,946,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,1023,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1054,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1057,"10","COMUNIDAD VALENCIANA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,1031,"10","COMUNIDAD VALENCIANA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",2,"Privados"
2020,1032,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1064,"10","COMUNIDAD VALENCIANA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,226,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,687,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,745,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1116,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,734,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,299,"08","CASTILLA-LA MANCHA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",2,"Concierto parcial",2,"Privados"
2020,1046,"08","CASTILLA-LA MANCHA","Agudos",1,"Hospitales De Agudos","C1290",1,"Sin concierto.",1,"Públicos-SNS"
2020,420,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C1290",1,"Sin concierto.",1,"Públicos-SNS"
2020,802,"16","PAÍS VASCO","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,266,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,769,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C122",2,"Concierto parcial",2,"Privados"
2020,776,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,640,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,315,"16","PAÍS VASCO","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",2,"Concierto parcial",2,"Privados"
2020,40,"16","PAÍS VASCO","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,508,"16","PAÍS VASCO","Agudos",1,"Hospitales De Agudos","C11",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,46,"16","PAÍS VASCO","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,911,"09","CATALUÑA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
