"año";"NCODI";"camas_medicina";"estancias_medicina";"altFinal_med";"altCuracion_med";"altTraslaHosp_med";"altExitus_med";"altOtracausa_med";"altTraslaInter_med";"camas_cirugia";"estancias_cirugia";"altFinal_cirugia";"altCuracion_cirugia";"altTraslaHosp_cirugia";"altExitus_cirugia";"altOtracausa_cirugia";"altTraslaInter_cirugia";"camas_trauma";"estancias_trauma";"altFinal_trauma";"altCuracion_trauma";"altTraslaHosp_trauma";"altExitus_trauma";"altOtracausa_trauma";"altTraslaInter_trauma";"camas_gine";"estancias_gine";"altFinal_gine";"altCuracion_gine";"altTraslaHosp_gine";"altExitus_gine";"altOtracausa_gine";"altTraslaInter_gine";"camas_pediatria";"estancias_pediatria";"altFinal_pediatria";"altCuracion_pediatria";"altTraslaHosp_pediatria";"altExitus_pediatria";"altOtracausa_pediatria";"altTraslaInter_pediatria";"camas_neonatologia";"estancias_neonatologia";"altFinal_neonatologia";"altCuracion_neonatologia";"altTraslaHosp_neonatologia";"altExitus_neonatologia";"altOtracausa_neonatologia";"altTraslaInter_neonatologia";"camas_restoPedia";"estancias_restoPedia";"altFinal_restoPedia";"altCuracion_restoPedia";"altTraslaHosp_restoPedia";"altExitus_restoPedia";"altOtracausa_restoPedia";"altTraslaInter_restoPedia";"camas_rehabilitacion";"estancias_rehabilitacion";"altFinal_rehabilitacion";"altCuracion_rehabilitacion";"altTraslaHosp_rehabilitacion";"altExitus_rehabilitacion";"altOtracausa_rehabilitacion";"altTraslaInter_rehabilitacion";"camas_mIntensiva";"estancias_mIntensiva";"aFinales_mIntensiva";"altCuracion_mIntensiva";"altTraslaHosp_mIntensiva";"altExitus_mIntensiva";"altOtracausa_mIntensiva";"altTraslaInter_mIntensiva";"camas_uci";"estancias_uci";"altFinal_uci";"altCuracion_uci";"altTraslaHosp_uci";"altExitus_uci";"altOtracausa_uci";"altTraslaInter_uci";"camas_uCoronarios";"estancias_uCoronarios";"altFinal_uCoronarios";"altCuracion_uCoronarios";"altTraslaHosp_uCoronarios";"altExitus_uCoronarios";"altOtracausa_uCoronarios";"altTraslaInter_uCoronarios";"camas_uNeonatales";"estancias_uNeonatales";"altFinal_uNeonatales";"altCuracion_uNeonatales";"altTraslaHosp_uNeonatales";"altExitus_uNeonatales";"altOtracausa_uNeonatales";"altTraslaInter_uNeonatales";"camas_uQuemados";"estancias_uQuemados";"altFinal_uQuemados";"altCuracion_uQuemados";"altTraslaHosp_uQuemados";"altExitus_uQuemados";"altOtracausa_uQuemados";"altTraslaInter_uQuemados";"camas_largaEstan";"estancias_largaEstan";"altFinal_largaEstan";"altCuracion_largaEstan";"altTraslaHosp_largaEstan";"altExitus_largaEstan";"altOtracausa_largaEstan";"altTraslaInter_largaEstan";"camas_psiquiatria";"estancias_psiquiatria";"altFinal_psiquiatria";"altCuracion_psiquiatria";"altTraslaHosp_psiquiatria";"altExitus_psiquiatria";"altOtracausa_psiquiatria";"altTraslaInter_psiquiatria";"camas_psiAgudo";"estancias_psiAgudo";"altFinal_psiAgudo";"altCuracion_psiAgudo";"altTraslaHosp_psiAgudo";"altExitus_psiAgudo";"altOtracausa_psiAgudo";"altTraslaInter_psiAgudo";"camas_psiquiMedia";"estancias_psiquiMedia";"altFinal_psiquiMedia";"altCuracion_psiquiMedia";"altTraslaHosp_psiquiMedia";"altExitus_psiquiMedia";"altOtracausa_psiquiMedia";"altTraslaInter_psiquiMedia";"camas_paliativos";"estancias_paliativos";"altFinal_paliativos";"altCuracion_paliativos";"altTraslaHosp_paliativos";"altExitus_paliativos";"altOtracausa_paliativos";"altTraslaInter_paliativos";"otros1_texto";"camas_o1";"estancias_o1";"altFinal_o1";"altCuracion_o1";"altTraslaHosp_o1";"altExitus_o1";"altOtracausa_o1";"altTraslaInter_o1";"otros2_texto";"camas_o2";"estancias_o2";"altFinal_o2";"altCuracion_o2";"altTraslaHosp_o2";"altExitus_o2";"altOtracausa_o2";"altTraslaInter_o2";"otros3_texto";"camas_o3";"estancias_o3";"altFinal_o3";"altCuracion_o3";"altTraslaHosp_o3";"altExitus_o3";"altOtracausa_o3";"altTraslaInter_o3";"camas_total";"estancias_total";"altFinal_total";"altCuracion_total";"altTraslaHosp_total";"altExitus_total";"altOtracausa_total";"altTraslaInter_total";"ingreProgr";"ingreUrge";"total_ingresosHops"
2010;362,00;15;4850;1331;1075;124;25;107;0;19;5825;3917;3880;16;6;15;0;19;2289;2160;2140;2;0;18;0;2;202;130;130;0;0;0;0;2;202;130;130;0;0;0;0;2;202;130;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1979;796;671;83;34;8;0;8;1979;796;671;83;34;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;65;15347;8464;8026;225;65;148;0;7075;1019;8094
2010;989,00;31;8135;1080;929;34;115;2;34;10;2144;469;454;9;6;0;65;11;1799;363;351;9;3;0;16;17;1615;668;650;14;0;4;27;12;783;293;275;16;0;2;2;0;0;0;0;0;0;0;0;12;783;293;275;16;0;2;2;0;0;0;0;0;0;0;0;2;360;46;1;21;23;1;99;2;360;46;1;21;23;1;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;83;14836;2919;2660;103;147;9;243;420;2102;2522
2010;990,00;45;12298;1652;1437;47;167;1;52;13;2990;597;576;8;12;1;53;9;2030;401;379;19;2;1;15;9;2254;886;868;10;0;8;50;8;960;296;272;23;0;1;4;0;1;1;0;1;0;0;0;8;959;295;272;22;0;1;4;0;0;0;0;0;0;0;0;2;587;41;3;19;19;0;123;2;587;41;3;19;19;0;123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;86;21119;3873;3535;126;200;12;297;648;2970;3618
2010;680,00;326;106650;14198;13004;371;743;80;2892;214;55934;7436;7130;169;100;37;1391;56;12356;1955;1905;25;19;6;83;78;16574;4588;4558;5;1;24;82;97;17964;3780;3709;59;4;8;397;24;4959;572;540;31;1;0;62;73;13005;3208;3169;28;3;8;335;0;0;0;0;0;0;0;0;44;11087;397;161;29;203;4;1033;24;6318;206;2;18;186;0;809;0;0;0;0;0;0;0;0;12;3307;30;5;9;16;0;211;8;1462;161;154;2;1;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;815;220565;32354;30467;658;1070;159;5878;12946;19442;32388
2010;411,00;30;8611;1731;1699;5;27;0;0;28;4309;2006;2004;1;1;0;0;10;3652;1182;1181;1;0;0;0;18;4107;1204;1204;0;0;0;0;6;303;151;149;2;0;0;0;4;185;102;100;2;0;0;0;2;118;49;49;0;0;0;0;0;0;0;0;0;0;0;0;6;1221;261;260;0;1;0;0;6;1221;261;260;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";6;1418;301;284;0;17;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;104;23621;6836;6781;9;46;0;0;6044;792;6836
2010;241,00;33;6794;2394;2314;18;61;1;0;16;3116;1760;1756;3;0;1;0;20;3500;1936;1929;5;1;1;0;20;3668;1333;1330;0;1;2;0;7;722;404;388;7;0;9;0;0;0;0;0;0;0;0;0;7;722;404;388;7;0;9;0;0;0;0;0;0;0;0;0;7;1567;83;33;28;19;3;243;7;1567;83;33;28;19;3;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;103;19367;7910;7750;61;82;17;243;5282;2633;7915
2010;558,00;127;33405;4954;4517;81;345;11;648;53;15234;1979;1921;17;41;0;150;14;4233;770;749;9;10;2;16;32;7388;1856;1836;9;0;11;185;26;2541;1178;1132;39;1;6;22;9;1129;558;551;6;1;0;10;17;1412;620;581;33;0;6;12;0;0;0;0;0;0;0;0;7;1389;133;72;16;44;1;345;7;1389;133;72;16;44;1;345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2947;354;342;8;0;4;5;12;2947;354;342;8;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;271;67137;11224;10569;179;441;35;1371;1985;9213;11198
2010;167,00;2;155;123;109;12;2;0;0;7;542;432;432;0;0;0;0;5;386;307;307;0;0;0;0;2;155;124;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;16;1238;986;972;12;2;0;0;947;40;987
2010;224,00;7;2968;631;618;8;5;0;0;6;934;416;410;3;3;0;0;6;750;279;279;0;0;0;0;3;1008;381;377;4;0;0;0;1;67;33;28;5;0;0;0;0;0;0;0;0;0;0;0;1;67;33;28;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;23;5727;1740;1712;20;8;0;0;1149;584;1733
2010;591,00;198;63018;9653;8861;172;579;41;658;87;23004;3369;3283;37;45;4;389;46;8268;1346;1306;28;12;0;16;50;10649;3105;3083;6;0;16;27;36;9207;1238;1201;37;0;0;51;17;4937;393;380;13;0;0;41;19;4270;845;821;24;0;0;10;0;0;0;0;0;0;0;0;17;5267;128;4;38;86;0;684;11;3328;26;1;16;9;0;140;0;0;0;0;0;0;0;0;6;1939;102;3;22;77;0;544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;3756;232;224;7;0;1;4;20;3756;232;224;7;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";6;1578;32;0;4;28;0;382;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;460;124747;19103;17962;329;750;62;2211;4192;14803;18995
2010;586,00;186;54782;8060;6162;1309;545;44;1237;77;20669;5257;5191;16;48;2;598;38;9194;1451;1421;21;8;1;32;54;9617;2903;2861;8;1;33;42;34;5236;1548;1500;43;3;2;26;14;2025;603;595;6;2;0;25;20;3211;945;905;37;1;2;1;0;0;0;0;0;0;0;0;9;2322;302;214;25;62;1;437;9;2322;302;214;25;62;1;437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3927;250;245;5;0;0;11;18;3927;250;245;5;0;0;11;0;0;0;0;0;0;0;0;4;817;300;192;4;104;0;8;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;420;106564;20071;17786;1431;771;83;2391;5609;13600;19209
2010;453,00;68;20967;1015;858;45;104;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;11684;106;59;8;37;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;6477;243;50;2;189;2;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;119;39128;1364;967;55;330;12;0;528;847;1375
2010;145,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;17020;88;72;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;96;17020;88;72;12;4;0;0;88;0;88
2010;511,00;99;36263;5965;5315;240;325;85;427;48;11933;1836;1789;24;12;11;15;31;5947;956;917;13;6;20;24;26;7160;2182;2131;19;1;31;34;33;3492;809;779;27;0;3;0;12;1446;243;231;12;0;0;0;21;2046;566;548;15;0;3;0;0;0;0;0;0;0;0;0;12;2669;193;82;24;84;3;0;12;2669;193;82;24;84;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4241;362;337;15;0;10;4241;14;4241;362;337;15;0;10;4241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;0;263;71705;12303;11350;362;428;163;4741;2147;10156;12303
