"año";"NCODI";"ccaa_Codigo";"ccaa";"cod_finalidad agrupada";"Finalidad_agrupada";"cod_depend_agrupada";"Depend_agrupada"
2010;650,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;876,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;944,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;781,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;779,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;113,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2010;619,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2010;163,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2010;131,00;"16";"PAÍS VASCO";"2";"Otros";"2";"Privados"
2010;375,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2010;764,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;14,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2010;657,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;362,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2010;989,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;990,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;680,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;411,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;241,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;558,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;167,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;224,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;591,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;586,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;453,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2010;145,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2010;511,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;530,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;6,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;161,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2010;623,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;489,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;349,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;875,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;908,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2010;940,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2010;946,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;1023,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;1054,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;1057,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2010;1031,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"2";"Privados"
2010;1032,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;226,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;687,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;745,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;109,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;808,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;971,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;128,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"2";"Privados"
2010;919,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"1";"Públicos_SNS"
2010;725,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;3,00;"11";"EXTREMADURA";"2";"Otros";"2";"Privados"
2010;386,00;"11";"EXTREMADURA";"2";"Otros";"2";"Privados"
2010;306,00;"11";"EXTREMADURA";"2";"Otros";"1";"Públicos_SNS"
2010;15,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2010;264,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2010;867,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2010;910,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;1053,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;1055,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;473,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;663,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;552,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;772,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;568,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;702,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;778,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;341,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;99,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;767,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;359,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;98,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;132,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;97,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;103,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;110,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;94,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;91,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;664,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;918,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;92,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;93,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;95,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;96,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;301,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;492,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;811,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;812,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;832,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;841,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;856,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;859,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;861,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;880,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;883,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;884,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;877,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;911,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;913,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;922,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;923,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;924,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;947,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;951,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;972,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;973,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;974,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;952,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"2";"Privados"
2010;54,00;"08";"CASTILLA-LA MANCHA";"2";"Otros";"1";"Públicos_SNS"
2010;538,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;557,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;653,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;647,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;208,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2010;732,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;529,00;"04";"ILLES BALEARS";"2";"Otros";"1";"Públicos_SNS"
2010;345,00;"04";"ILLES BALEARS";"2";"Otros";"1";"Públicos_SNS"
2010;515,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;174,00;"04";"ILLES BALEARS";;;"2";"Privados"
2010;523,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;697,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;239,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;287,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;377,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;692,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;335,00;"04";"ILLES BALEARS";"2";"Otros";"1";"Públicos_SNS"
2010;435,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;423,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;351,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;810,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;830,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;892,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;921,00;"04";"ILLES BALEARS";"1";"Agudos";"2";"Privados"
2010;991,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;992,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;993,00;"04";"ILLES BALEARS";"1";"Agudos";"1";"Públicos_SNS"
2010;398,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;394,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;614,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;235,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;616,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;267,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;565,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;220,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;278,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;107,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;141,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;711,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;569,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;204,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;579,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;348,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;766,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;761,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;728,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;280,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;222,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;276,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;11,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;302,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;914,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;928,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;964,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;1026,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;738,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;404,00;"01";"ANDALUCÍA";"2";"Otros";"2";"Privados"
2010;274,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;270,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;676,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;709,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;754,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;997,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;734,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;299,00;"08";"CASTILLA-LA MANCHA";"2";"Otros";"2";"Privados"
2010;645,00;"08";"CASTILLA-LA MANCHA";"2";"Otros";"2";"Privados"
2010;17,00;"08";"CASTILLA-LA MANCHA";"2";"Otros";"1";"Públicos_SNS"
2010;1046,00;"08";"CASTILLA-LA MANCHA";"2";"Otros";"1";"Públicos_SNS"
2010;420,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;802,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2010;266,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2010;580,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2010;137,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2010;769,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2010;776,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;640,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;315,00;"16";"PAÍS VASCO";"2";"Otros";"2";"Privados"
2010;40,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2010;508,00;"16";"PAÍS VASCO";"1";"Agudos";"2";"Privados"
2010;46,00;"16";"PAÍS VASCO";"2";"Otros";"2";"Privados"
2010;590,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;777,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;897,00;"16";"PAÍS VASCO";"1";"Agudos";"1";"Públicos_SNS"
2010;965,00;"16";"PAÍS VASCO";"2";"Otros";"1";"Públicos_SNS"
2010;671,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;461,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;376,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;621,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;793,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;324,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;712,00;"02";"ARAGÓN";"1";"Agudos";"1";"Públicos_SNS"
2010;32,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos_SNS"
2010;361,00;"02";"ARAGÓN";"2";"Otros";"1";"Públicos_SNS"
2010;486,00;"02";"ARAGÓN";"1";"Agudos";"2";"Privados"
2010;682,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;279,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;282,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;281,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;183,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;610,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;116,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;115,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;114,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;126,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;156,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;119,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;770,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;583,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;136,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;469,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;642,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;674,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;193,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;526,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;698,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;630,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;124,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;364,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;604,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;123,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;310,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;571,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;296,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;566,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;784,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;102,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;379,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;639,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;457,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;609,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;101,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;454,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;318,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;600,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;545,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;100,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1078,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;1063,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1033,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;1034,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;1036,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1039,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;978,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;996,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;729,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;182,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;633,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;685,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;683,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;945,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;953,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;1022,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;1049,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;794,00;"12";"GALICIA";"1";"Agudos";"1";"Públicos_SNS"
2010;415,00;"12";"GALICIA";"1";"Agudos";"1";"Públicos_SNS"
2010;592,00;"12";"GALICIA";"1";"Agudos";"2";"Privados"
2010;497,00;"12";"GALICIA";"1";"Agudos";"2";"Privados"
2010;308,00;"12";"GALICIA";"2";"Otros";"2";"Privados"
2010;726,00;"12";"GALICIA";"1";"Agudos";"1";"Públicos_SNS"
2010;272,00;"12";"GALICIA";"1";"Agudos";"2";"Privados"
2010;805,00;"12";"GALICIA";"1";"Agudos";"1";"Públicos_SNS"
2010;5,00;"12";"GALICIA";"1";"Agudos";"2";"Privados"
2010;234,00;"12";"GALICIA";"1";"Agudos";"2";"Privados"
2010;64,00;"12";"GALICIA";"2";"Otros";"2";"Privados"
2010;842,00;"12";"GALICIA";"1";"Agudos";"1";"Públicos_SNS"
2010;843,00;"12";"GALICIA";"1";"Agudos";"1";"Públicos_SNS"
2010;1025,00;"12";"GALICIA";"1";"Agudos";"2";"Privados"
2010;803,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"1";"Públicos_SNS"
2010;211,00;"08";"CASTILLA-LA MANCHA";"1";"Agudos";"2";"Privados"
2010;773,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;424,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;298,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
