"año";"NCODI";"camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2010;875,00;"Menos de 200 camas";0;0;6;1;82;0;0;6;1;2;0;6;0;0;0;0;0
2010;908,00;"Menos de 200 camas";0;0;0;0;42;0;0;0;0;1;0;0;0;0;0;0;0
2010;940,00;"Menos de 200 camas";0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
2010;946,00;"Menos de 200 camas";2;4;1;1;100;2;4;1;1;3;0;0;0;0;0;0;0
2010;1023,00;"200 - 500 camas";8;2;11;1;243;8;2;11;1;3;0;38;0;0;13;29;0
2010;1054,00;"200 - 500 camas";9;3;15;2;211;9;3;14;1;13;0;0;0;0;0;0;0
2010;1057,00;"Menos de 200 camas";0;0;0;0;81;0;0;0;0;4;0;0;0;0;0;0;0
2010;1031,00;"Menos de 200 camas";0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
2010;1032,00;"200 - 500 camas";8;8;12;1;186;8;8;12;1;1;0;25;0;0;14;26;0
2010;226,00;"Menos de 200 camas";2;6;1;1;95;2;6;1;1;2;0;0;0;0;0;0;0
2010;687,00;"Menos de 200 camas";8;2;6;0;172;8;2;6;0;7;0;4;20;0;0;10;1
2010;745,00;"501 - 1000 camas";8;3;18;2;735;8;3;18;1;9;4;71;42;0;0;19;6
2010;109,00;"Menos de 200 camas";2;1;6;1;82;2;1;6;1;4;0;0;0;0;0;0;0
2010;808,00;"200 - 500 camas";8;8;9;0;264;8;6;8;0;6;0;0;22;0;16;0;0
2010;971,00;"Menos de 200 camas";0;0;6;0;5;0;0;2;0;2;0;2;0;0;12;0;0
2010;128,00;"Menos de 200 camas";1;1;3;0;33;0;0;3;0;1;0;3;0;0;2;2;1
2010;919,00;"200 - 500 camas";8;2;8;0;414;8;2;8;0;4;3;24;8;0;0;0;0
2010;725,00;"Más de 1.000 camas";31;3;30;2;903;31;3;29;2;13;0;40;0;0;0;0;2
2010;3,00;"Menos de 200 camas";0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0
2010;386,00;"Menos de 200 camas";0;0;2;0;74;0;0;2;0;1;0;0;0;0;0;0;0
2010;306,00;"200 - 500 camas";0;0;0;0;466;0;0;0;0;0;0;0;0;0;0;0;0
2010;15,00;"Menos de 200 camas";0;0;3;0;29;0;0;2;0;1;0;1;0;0;0;0;0
2010;264,00;"Menos de 200 camas";2;1;4;0;74;2;1;4;0;2;0;0;0;0;0;0;0
2010;867,00;"Menos de 200 camas";0;0;2;0;15;0;0;2;0;2;0;0;0;0;0;0;0
2010;910,00;"200 - 500 camas";2;1;10;0;227;2;1;9;0;19;0;16;0;0;7;0;0
2010;1053,00;"200 - 500 camas";7;2;8;0;310;7;2;6;0;4;4;14;0;0;19;0;0
2010;1055,00;"200 - 500 camas";8;3;14;1;367;8;3;11;1;17;0;32;0;0;0;39;6
2010;732,00;"501 - 1000 camas";37;3;22;2;717;37;3;17;2;37;7;32;26;0;0;0;0
2010;529,00;"Menos de 200 camas";0;0;0;0;79;0;0;0;0;1;0;0;0;0;0;0;0
2010;345,00;"Menos de 200 camas";0;0;0;0;162;0;0;0;0;0;0;0;0;0;0;0;0
2010;515,00;"Menos de 200 camas";0;0;3;0;40;0;0;3;0;2;0;0;0;0;0;0;0
2010;174,00;"Menos de 200 camas";0;0;3;0;30;0;0;2;0;1;0;0;0;1;0;0;0
2010;523,00;"Menos de 200 camas";0;0;3;0;150;0;0;3;0;2;0;0;0;25;0;0;3
2010;697,00;"Menos de 200 camas";9;3;6;1;193;9;3;6;1;5;0;1;1;1;1;1;1
2010;239,00;"Menos de 200 camas";0;0;5;1;100;0;0;4;0;3;0;11;0;0;0;0;0
2010;287,00;"200 - 500 camas";4;3;11;1;206;4;3;11;1;6;0;12;0;0;0;0;0
2010;377,00;"Menos de 200 camas";0;0;0;0;84;0;0;0;0;1;0;0;0;0;0;0;0
2010;692,00;"200 - 500 camas";4;2;6;0;196;4;2;6;0;3;0;10;15;0;0;0;0
2010;335,00;"Menos de 200 camas";0;0;0;0;162;0;0;0;0;0;0;0;0;0;0;0;0
2010;435,00;"Menos de 200 camas";2;1;5;1;68;1;1;5;1;1;0;0;0;0;5;5;5
2010;423,00;"Menos de 200 camas";3;1;2;0;31;3;1;2;0;0;0;1;0;0;2;3;2
2010;351,00;"Menos de 200 camas";0;0;3;0;48;0;0;2;0;2;0;0;0;0;0;2;1
2010;810,00;"Menos de 200 camas";2;1;2;0;20;2;1;2;0;3;0;0;0;0;0;0;0
2010;830,00;"200 - 500 camas";0;2;8;0;224;0;2;8;0;0;0;7;0;0;0;0;0
2010;892,00;"200 - 500 camas";19;5;13;0;381;18;5;13;0;5;0;24;24;0;0;39;0
2010;921,00;"Menos de 200 camas";4;6;8;1;146;4;4;8;1;5;0;0;0;0;0;0;0
2010;991,00;"Menos de 200 camas";1;1;1;0;12;1;1;1;0;1;0;0;0;0;0;0;0
2010;992,00;"Menos de 200 camas";6;1;6;0;165;6;1;6;0;4;0;7;15;0;8;12;1
2010;993,00;"Menos de 200 camas";5;3;5;0;142;5;3;5;0;2;2;21;16;0;0;6;1
2010;473,00;"Menos de 200 camas";33;7;6;0;118;33;7;6;0;2;0;1;0;0;0;0;0
2010;663,00;"200 - 500 camas";9;2;11;1;377;9;2;11;1;4;2;53;0;0;7;0;0
2010;552,00;"Menos de 200 camas";0;0;6;0;174;0;0;6;0;4;0;16;0;0;14;0;0
2010;772,00;"501 - 1000 camas";0;0;26;2;727;0;0;26;2;8;0;70;56;50;0;0;5
2010;568,00;"Menos de 200 camas";0;0;2;0;40;0;0;2;0;2;0;0;0;0;0;0;0
2010;398,00;"Menos de 200 camas";0;0;5;0;94;0;0;2;0;2;0;0;0;0;0;0;0
2010;394,00;"Menos de 200 camas";0;0;2;0;55;0;0;2;0;2;0;0;0;0;0;0;0
2010;614,00;"Menos de 200 camas";0;0;2;0;22;0;0;2;0;0;0;0;0;0;0;7;0
2010;235,00;"Menos de 200 camas";0;0;3;0;40;0;0;3;0;2;0;0;0;0;0;0;0
2010;616,00;"Menos de 200 camas";0;0;6;0;73;0;0;5;0;0;0;19;0;0;15;0;0
2010;267,00;"Menos de 200 camas";7;2;9;1;173;7;2;9;1;0;0;0;0;0;0;0;0
2010;565,00;"200 - 500 camas";0;0;5;0;188;0;0;5;0;2;0;4;0;0;0;7;0
2010;220,00;"Menos de 200 camas";4;3;9;0;138;4;3;9;0;3;0;0;0;0;0;0;8
2010;278,00;"Menos de 200 camas";6;3;8;0;154;6;3;8;0;0;0;0;0;0;0;8;2
2010;107,00;"Menos de 200 camas";0;0;0;0;112;0;0;0;0;0;0;0;15;55;0;0;0
2010;141,00;"Menos de 200 camas";0;0;0;0;39;0;0;0;0;1;0;0;0;0;0;0;0
2010;711,00;"501 - 1000 camas";17;3;22;3;618;17;3;22;3;6;0;73;25;0;16;0;0
2010;569,00;"Menos de 200 camas";0;0;3;0;38;0;0;3;0;2;0;0;0;0;0;0;0
2010;204,00;"Menos de 200 camas";0;0;0;0;116;0;0;0;0;1;0;0;0;24;0;0;0
2010;579,00;"Menos de 200 camas";0;0;2;0;30;0;0;2;0;4;0;0;0;0;0;0;0
2010;348,00;"Menos de 200 camas";0;0;2;0;140;0;0;2;0;1;0;70;0;0;0;0;0
2010;766,00;"Menos de 200 camas";0;0;8;0;124;0;0;8;0;5;0;8;0;0;0;0;0
2010;761,00;"200 - 500 camas";0;0;0;0;271;0;0;0;0;0;0;0;0;60;0;0;0
2010;728,00;"200 - 500 camas";4;1;18;0;198;4;1;18;0;0;0;4;0;0;0;14;4
2010;280,00;"Menos de 200 camas";12;3;9;0;136;12;3;9;0;0;0;10;0;0;0;5;0
2010;222,00;"Menos de 200 camas";0;0;6;0;58;0;0;6;0;2;0;0;0;0;0;0;0
2010;276,00;"Menos de 200 camas";10;3;14;1;184;10;3;14;1;8;0;13;0;0;17;0;0
2010;11,00;"200 - 500 camas";2;2;8;1;188;0;2;8;1;3;0;0;0;0;0;0;0
2010;302,00;"Menos de 200 camas";2;2;3;0;60;2;2;3;0;0;0;0;0;0;1;1;1
2010;682,00;"Menos de 200 camas";0;0;8;0;161;0;0;8;0;1;0;11;0;0;0;0;0
2010;279,00;"Menos de 200 camas";20;5;9;1;181;20;5;9;1;4;0;10;0;0;0;10;3
2010;282,00;"200 - 500 camas";10;3;18;1;257;10;3;18;1;7;0;10;0;0;0;37;4
2010;281,00;"200 - 500 camas";8;5;10;1;307;8;4;10;1;3;0;10;0;0;0;9;0
2010;183,00;"Menos de 200 camas";0;0;3;0;30;0;0;3;0;1;0;1;0;0;1;0;1
2010;610,00;"Menos de 200 camas";0;0;5;0;43;0;0;5;0;1;0;0;0;0;0;19;0
2010;116,00;"200 - 500 camas";0;0;0;0;428;0;0;0;0;0;0;0;0;20;0;0;0
2010;115,00;"Menos de 200 camas";0;0;0;0;50;0;0;0;0;1;0;0;0;0;0;0;0
2010;114,00;"Menos de 200 camas";0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0
2010;126,00;"Menos de 200 camas";0;0;0;0;145;0;0;0;0;0;0;0;0;10;0;0;0
2010;156,00;"Menos de 200 camas";0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0
2010;119,00;"Menos de 200 camas";0;0;4;0;30;0;0;4;0;1;0;0;0;0;0;0;0
2010;770,00;"501 - 1000 camas";10;3;19;2;558;10;3;19;2;7;0;42;20;0;0;8;3
2010;583,00;"Menos de 200 camas";0;0;6;0;118;0;0;6;0;7;0;16;0;0;0;15;0
2010;136,00;"200 - 500 camas";0;0;0;0;209;0;0;0;0;1;0;0;0;50;0;0;0
2010;469,00;"Menos de 200 camas";2;1;3;0;108;2;1;3;0;2;0;9;0;15;9;9;1
2010;642,00;"200 - 500 camas";2;2;5;0;215;2;2;5;0;5;0;7;0;20;0;8;0
2010;674,00;"200 - 500 camas";37;6;13;1;351;37;6;13;1;10;0;13;64;0;7;12;2
2010;193,00;"Menos de 200 camas";0;0;0;0;158;0;0;0;0;1;0;0;0;18;0;0;0
2010;526,00;"200 - 500 camas";12;3;6;0;343;12;3;6;0;4;0;34;0;68;0;10;0
2010;698,00;"501 - 1000 camas";0;0;29;2;744;0;0;29;2;10;0;19;10;0;0;24;0
2010;630,00;"200 - 500 camas";3;2;11;0;331;3;2;11;0;3;0;8;0;30;0;0;0
2010;124,00;"Menos de 200 camas";0;0;0;0;140;0;0;0;0;0;0;0;0;30;0;0;0
2010;364,00;"Menos de 200 camas";0;0;0;0;92;0;0;0;0;0;0;0;0;35;0;0;0
2010;604,00;"501 - 1000 camas";12;6;19;0;553;12;6;19;0;12;0;34;31;0;0;0;2
2010;123,00;"Menos de 200 camas";0;0;0;0;191;0;0;0;0;0;0;0;0;58;0;0;0
2010;310,00;"200 - 500 camas";0;0;0;0;415;0;0;0;0;0;0;0;55;65;0;0;0
2010;571,00;"Menos de 200 camas";2;2;5;0;127;2;2;5;0;3;0;6;0;0;0;1;1
2010;296,00;"Menos de 200 camas";0;0;0;0;177;0;0;0;0;1;0;0;0;22;0;0;0
2010;566,00;"Menos de 200 camas";4;3;6;0;160;0;2;4;0;4;0;20;20;0;11;0;0
2010;784,00;"501 - 1000 camas";18;6;16;0;805;18;6;16;0;6;0;109;20;39;0;17;4
2010;102,00;"501 - 1000 camas";0;0;0;0;760;0;0;0;0;1;0;0;15;20;0;0;0
2010;379,00;"501 - 1000 camas";0;0;0;0;632;0;0;0;0;0;0;0;90;0;0;0;0
2010;639,00;"Menos de 200 camas";3;4;5;0;134;1;4;4;0;5;0;6;0;0;0;8;0
2010;457,00;"Menos de 200 camas";0;0;2;0;81;0;0;2;0;2;0;2;0;0;0;10;0
2010;609,00;"200 - 500 camas";10;2;12;2;297;10;2;12;2;8;0;9;10;0;9;0;0
2010;101,00;"Menos de 200 camas";0;0;0;0;82;0;0;0;0;0;0;0;0;20;0;0;0
2010;454,00;"200 - 500 camas";2;1;3;0;275;2;1;3;0;3;0;14;0;0;0;4;1
2010;318,00;"200 - 500 camas";0;0;0;0;372;0;0;0;0;0;0;0;20;25;0;0;0
2010;600,00;"Menos de 200 camas";2;5;8;0;138;2;5;8;0;5;0;20;0;0;0;16;0
2010;545,00;"200 - 500 camas";27;3;14;15;382;14;3;14;15;5;0;38;30;36;0;0;0
2010;100,00;"Menos de 200 camas";0;0;0;0;98;0;0;0;0;0;0;0;0;35;0;0;0
2010;702,00;"200 - 500 camas";9;3;15;1;469;9;3;15;1;5;0;22;35;0;0;21;4
2010;778,00;"200 - 500 camas";3;3;11;0;214;3;3;11;0;5;0;50;22;0;0;13;2
2010;341,00;"Menos de 200 camas";1;1;2;0;65;0;0;2;0;2;0;0;0;0;0;0;0
2010;99,00;"Menos de 200 camas";0;0;0;0;105;0;0;0;0;0;0;0;0;50;0;0;0
2010;767,00;"Menos de 200 camas";0;0;5;0;121;0;0;5;0;6;0;8;0;0;0;0;0
2010;359,00;"Menos de 200 camas";0;0;2;0;107;0;0;2;0;2;0;0;0;30;4;8;2
2010;98,00;"Menos de 200 camas";0;0;0;0;119;0;0;0;0;0;0;0;0;25;0;0;0
2010;132,00;"Menos de 200 camas";0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0
2010;97,00;"Menos de 200 camas";0;0;0;0;120;0;0;0;0;0;0;0;0;30;0;0;0
2010;103,00;"Menos de 200 camas";0;0;0;0;40;0;0;0;0;0;0;0;0;20;0;0;0
2010;110,00;"Menos de 200 camas";0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0
2010;94,00;"Menos de 200 camas";0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
2010;91,00;"Menos de 200 camas";0;0;0;0;81;0;0;0;0;0;0;0;0;20;0;0;0
2010;664,00;"200 - 500 camas";5;2;9;0;365;5;2;9;0;4;0;32;25;0;95;0;0
2010;918,00;"Más de 1.000 camas";45;6;39;5;1138;43;6;39;5;11;0;98;0;0;0;0;6
2010;92,00;"Menos de 200 camas";0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0
2010;93,00;"Menos de 200 camas";0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
2010;95,00;"Menos de 200 camas";0;0;0;0;168;0;0;0;0;0;0;0;0;25;0;0;0
2010;96,00;"Menos de 200 camas";0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0
2010;301,00;"Menos de 200 camas";0;0;4;0;16;0;0;4;0;1;0;0;0;0;0;0;0
2010;492,00;"Menos de 200 camas";2;1;4;0;123;2;1;4;0;3;0;19;0;0;0;8;0
2010;811,00;"Menos de 200 camas";0;1;1;0;24;0;1;1;0;1;0;0;0;0;0;0;0
2010;812,00;"Menos de 200 camas";0;0;1;0;110;0;0;1;0;0;0;38;0;0;0;0;0
2010;832,00;"Menos de 200 camas";0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
2010;841,00;"Menos de 200 camas";0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
2010;856,00;"Menos de 200 camas";0;0;0;0;80;0;0;0;0;0;0;0;0;20;0;0;0
2010;859,00;"Menos de 200 camas";0;0;0;0;32;0;0;0;0;0;0;0;15;0;0;0;0
2010;861,00;"Menos de 200 camas";0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
2010;880,00;"Menos de 200 camas";0;0;0;0;108;0;0;0;0;0;0;0;0;40;0;0;0
2010;883,00;"Menos de 200 camas";0;0;0;0;39;0;0;0;0;0;0;0;17;0;0;0;0
2010;884,00;"Menos de 200 camas";0;0;0;0;130;0;0;0;0;0;0;0;0;30;0;0;0
2010;877,00;"Menos de 200 camas";0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0
2010;911,00;"200 - 500 camas";0;0;0;0;354;0;0;0;0;0;0;0;0;27;0;0;0
2010;913,00;"Menos de 200 camas";0;0;0;0;30;0;0;0;0;0;0;0;20;0;0;0;0
2010;922,00;"Menos de 200 camas";0;0;6;0;50;0;0;6;0;2;0;0;0;0;0;0;0
2010;923,00;"Menos de 200 camas";0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0
2010;924,00;"Menos de 200 camas";0;0;0;0;43;0;0;0;0;0;0;26;0;0;0;0;0
2010;947,00;"Menos de 200 camas";0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0
2010;951,00;"Menos de 200 camas";0;0;0;0;56;0;0;0;0;0;0;0;0;22;0;0;0
2010;972,00;"Menos de 200 camas";0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
2010;973,00;"Menos de 200 camas";0;0;2;0;22;0;0;2;0;2;0;0;0;0;10;5;2
2010;974,00;"Menos de 200 camas";0;0;0;1;153;0;0;0;1;0;0;0;0;0;0;0;0
2010;975,00;"Menos de 200 camas";0;0;0;0;101;0;0;0;0;0;0;0;0;25;0;0;0
2010;960,00;"200 - 500 camas";0;0;0;0;223;0;0;0;0;0;0;0;0;48;0;0;0
2010;1027,00;"Menos de 200 camas";0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0
2010;1028,00;"Menos de 200 camas";0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
2010;976,00;"200 - 500 camas";0;0;0;0;289;0;0;0;0;0;0;0;12;35;0;0;0
2010;977,00;"Menos de 200 camas";0;0;0;0;199;0;0;0;0;0;0;0;0;0;0;0;0
2010;1020,00;"Menos de 200 camas";0;0;0;0;22;0;0;0;0;0;0;0;15;0;0;0;0
2010;994,00;"200 - 500 camas";6;3;5;0;245;6;3;5;0;6;0;23;0;0;0;30;0
2010;995,00;"Menos de 200 camas";0;0;0;0;84;0;0;0;0;0;0;0;0;30;0;0;0
2010;1059,00;"Menos de 200 camas";0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0
2010;1060,00;"Menos de 200 camas";0;0;0;0;25;0;0;0;0;0;0;0;35;0;0;0;0
2010;1005,00;"Menos de 200 camas";0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0
2010;1061,00;"Menos de 200 camas";0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
2010;1062,00;"Menos de 200 camas";0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0
2010;1006,00;"Menos de 200 camas";0;0;0;0;52;0;0;0;0;0;0;0;20;0;0;0;0
2010;1088,00;"Menos de 200 camas";0;0;3;0;10;0;0;3;0;0;0;0;0;0;0;3;3
2010;1076,00;"Menos de 200 camas";0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0
2010;1078,00;"Menos de 200 camas";0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0
2010;1063,00;"Menos de 200 camas";0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
2010;1033,00;"200 - 500 camas";0;0;12;0;247;0;0;12;0;3;0;47;0;0;0;0;0
2010;1034,00;"Menos de 200 camas";0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0
2010;1036,00;"Menos de 200 camas";0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0
2010;1039,00;"Menos de 200 camas";0;0;0;0;50;0;0;0;0;0;0;0;40;0;0;0;0
2010;207,00;"Menos de 200 camas";1;1;4;0;100;1;1;4;0;4;0;8;0;0;0;0;0
2010;431,00;"Menos de 200 camas";0;0;0;0;155;0;0;0;0;2;0;0;0;0;0;0;0
2010;387,00;"Menos de 200 camas";4;2;3;0;109;2;2;3;0;3;0;6;0;0;1;0;0
2010;179,00;"Menos de 200 camas";0;0;0;0;75;0;0;0;0;1;0;0;0;0;0;0;0
2010;606,00;"Menos de 200 camas";3;2;3;0;108;3;2;3;0;4;1;16;0;0;0;0;0
2010;925,00;"501 - 1000 camas";13;2;15;1;905;13;2;15;1;18;4;24;49;0;12;0;0
2010;541,00;"Menos de 200 camas";6;2;4;0;103;6;2;4;0;5;0;1;0;0;0;0;0
2010;797,00;"Menos de 200 camas";2;2;5;0;102;2;2;5;0;4;0;4;0;0;0;9;0
2010;627,00;"200 - 500 camas";6;2;6;0;205;5;2;6;0;3;3;16;0;0;0;6;0
2010;173,00;"200 - 500 camas";0;0;0;0;350;0;0;0;0;0;0;0;4;0;0;0;0
2010;636,00;"501 - 1000 camas";20;3;17;1;471;20;3;15;1;11;0;22;0;18;0;16;3
2010;205,00;"Menos de 200 camas";0;0;3;0;27;0;0;3;0;1;0;2;0;0;0;0;0
2010;814,00;"Menos de 200 camas";1;1;1;0;24;1;1;1;0;1;0;0;0;0;1;0;1
2010;881,00;"Menos de 200 camas";2;1;3;1;32;2;1;3;1;1;0;0;0;0;0;0;0
2010;771,00;"501 - 1000 camas";37;2;18;2;652;33;2;18;2;11;3;10;0;0;20;0;0
2010;533,00;"Menos de 200 camas";5;1;1;1;115;5;1;1;1;1;0;0;0;0;0;0;0
2010;447,00;"200 - 500 camas";4;1;7;0;190;4;1;7;0;2;0;8;0;0;0;0;1
2010;815,00;"Menos de 200 camas";1;1;3;0;19;1;1;3;0;1;0;0;0;0;0;0;0
2010;801,00;"501 - 1000 camas";20;2;10;1;518;20;2;10;1;5;3;23;0;0;3;2;10
2010;800,00;"Menos de 200 camas";0;0;3;0;100;0;0;2;0;2;0;0;0;0;0;0;0
2010;389,00;"200 - 500 camas";3;2;4;0;290;3;2;4;0;4;0;0;0;0;0;0;1
2010;759,00;"200 - 500 camas";4;0;6;0;46;0;0;6;0;10;0;0;0;0;0;0;0
2010;695,00;"200 - 500 camas";8;3;8;1;300;8;3;8;1;6;2;29;0;0;4;12;3
2010;816,00;"Menos de 200 camas";2;1;4;0;87;2;1;3;0;1;0;7;0;0;0;10;2
2010;833,00;"Menos de 200 camas";2;1;5;0;110;2;1;5;0;1;0;1;0;0;0;0;1
2010;870,00;"Menos de 200 camas";2;2;6;1;60;2;2;6;1;2;0;1;0;0;0;0;0
2010;927,00;"Menos de 200 camas";0;0;2;0;51;0;0;2;0;1;0;0;0;0;0;0;0
2010;961,00;"200 - 500 camas";12;3;13;0;480;12;3;13;0;10;3;30;0;0;25;0;0
2010;962,00;"Menos de 200 camas";1;1;2;1;32;1;1;2;1;1;0;2;0;0;2;0;2
2010;1079,00;"Menos de 200 camas";0;1;3;0;44;0;1;3;0;2;0;2;0;0;2;3;1
2010;666,00;"501 - 1000 camas";25;3;16;1;570;25;3;16;1;5;5;12;0;0;0;0;0
2010;392,00;"200 - 500 camas";0;0;0;0;127;0;0;0;0;2;0;0;0;0;0;0;0
2010;790,00;"200 - 500 camas";0;0;7;0;255;0;0;7;0;4;0;28;74;0;6;0;0
2010;650,00;"Menos de 200 camas";2;1;3;0;130;2;1;3;0;3;0;8;0;0;0;6;0
2010;876,00;"200 - 500 camas";5;2;10;0;248;5;2;10;0;5;0;17;0;0;0;0;0
2010;944,00;"Menos de 200 camas";0;0;4;0;15;0;0;4;0;2;0;0;0;0;0;0;0
2010;952,00;"Menos de 200 camas";5;2;10;0;84;5;2;10;0;3;0;5;0;0;0;0;1
2010;54,00;"Menos de 200 camas";0;0;0;0;95;0;0;0;0;0;0;0;30;0;0;0;0
2010;538,00;"200 - 500 camas";8;2;9;0;285;8;2;9;0;7;2;22;12;0;0;19;3
2010;557,00;"Menos de 200 camas";3;2;4;0;101;3;2;4;0;2;0;13;0;0;0;6;0
2010;653,00;"Menos de 200 camas";5;2;5;0;156;5;2;5;0;5;2;14;0;0;6;0;0
2010;647,00;"Menos de 200 camas";2;2;4;0;85;2;2;4;0;5;0;2;0;0;0;0;0
2010;208,00;"Menos de 200 camas";0;1;2;0;5;0;0;2;0;1;0;1;0;0;0;0;0
2010;978,00;"501 - 1000 camas";23;3;12;1;561;23;3;12;1;15;1;18;20;0;0;23;0
2010;996,00;"Menos de 200 camas";4;1;4;0;70;0;1;4;0;3;0;9;0;0;40;30;0
