,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,DateEmployment,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,Over18,NumCompaniesWorked,Country,Sons,Attrition,BusinessTravel,DailyRate,Department,EmployeeCount,HourlyRate,JobLevel,JobRole,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction
27,14,Bachelor,Medical,Male,Married,33,3085385d-8064-4e71-b919-97fc0aaa25bb,2000-06-21 00:43:54,0,0,0,8,Y,5.0,Illinois,0,Yes,Travel_Rarely,813.0,Research & Development,1,58,1,Laboratory Technician,2436,22149,Yes,13,80.0,1,2,High,High,,Excellent,High
28,12,Bachelor,Marketing,Female,Single,50,6cbc484d-a30e-4f5f-8c16-2213d0c16418,2000-06-26 05:24:00,9,0,1,16,,4.0,Portugal,1,No,Travel_Frequently,809.0,Sales,1,77,3,Sales Executive,9208,6645,No,11,80.0,0,3,High,High,Very High,Excellent,Very High
29,5,College,Other,Male,Married,42,c45589dc-fcbd-4128-8a3e-c659ac039076,2000-07-05 11:33:42,18,2,0,8,,4.0,Montana,1,No,,1474.0,Research & Development,1,97,1,Laboratory Technician,2093,9260,No,17,80.0,1,4,Medium,High,High,Excellent,Very High
30,4,Below College,Medical,Female,Single,23,213967c8-f7e9-4a74-a31d-94a45f477144,2000-07-05 21:32:55,15,0,1,3,,1.0,República Checa,0,No,Travel_Rarely,160.0,Research & Development,1,51,1,Laboratory Technician,3295,12862,No,13,80.0,0,3,High,High,Medium,Excellent,High
31,2,Below College,Marketing,Female,Married,52,55c435ea-8879-4f4a-9c73-530833b9759b,2000-07-06 16:36:15,3,4,2,33,Y,1.0,Croacia,1,Yes,Travel_Rarely,266.0,Sales,1,57,5,Manager,19845,25846,No,15,80.0,1,3,Low,Low,Very High,Excellent,Very High
32,1,Bachelor,Human Resources,Male,Married,38,24becd17-94fe-4a30-b6ff-b198ea724cb2,2000-07-12 01:27:20,19,0,0,7,Y,1.0,Maryland,1,No,,433.0,Human Resources,1,37,1,Human Resources,2844,6004,No,13,80.0,1,2,High,Very High,High,Excellent,Very High
33,17,Master,Medical,Female,Married,30,9010096b-63b0-4bba-89b5-9ce79e9c9e69,2000-07-19 23:15:27,8,0,0,9,Y,1.0,Maine,1,No,Travel_Rarely,634.0,Research & Development,1,95,3,Manager,11916,25927,Yes,23,,2,2,Medium,High,Low,Outstanding,Very High
34,9,Bachelor,Medical,Male,Single,30,42ca5ad8-0baf-4a7c-91a5-95488a002010,2000-07-29 22:51:28,4,0,0,1,Y,1.0,New Hampshire,0,Yes,Travel_Rarely,945.0,Sales,1,89,1,Sales Representative,1081,16019,No,13,80.0,0,3,Medium,High,Very High,Excellent,High
35,9,Bachelor,Medical,Male,Single,24,650a8dd2-f031-42de-8e26-999fbf2cfa14,2000-07-31 03:22:58,16,0,0,4,Y,2.0,Ohio,0,Yes,Travel_Frequently,381.0,Research & Development,1,89,1,Laboratory Technician,3172,16998,Yes,11,80.0,0,2,Medium,High,Low,Excellent,High
36,14,,Marketing,Male,Single,47,31c394a2-0cd9-48e0-b13f-4fccda606f78,2000-08-09 08:40:23,13,1,3,20,Y,2.0,Grecia,1,No,Travel_Rarely,703.0,Sales,1,42,2,Sales Executive,4960,11825,No,12,80.0,0,2,Very High,High,,Excellent,Very High
37,9,Bachelor,Medical,Female,Single,32,ac5efc25-c434-4a40-a00a-12f2b5425ba7,2000-08-11 16:29:26,23,0,0,10,Y,7.0,Dakota del Norte,1,Yes,Travel_Rarely,,Research & Development,1,41,1,Laboratory Technician,4200,10224,No,22,80.0,0,2,Low,High,,Outstanding,Low
38,1,Bachelor,Medical,Female,Married,35,0419a541-d0c1-4993-b8a8-b8d205136155,2000-08-18 23:00:04,19,0,0,10,Y,0.0,Rumania,1,No,Travel_Rarely,817.0,Research & Development,1,60,2,Laboratory Technician,5363,10846,No,12,80.0,1,0,Very High,Medium,Very High,Excellent,Medium
39,4,College,Life Sciences,Female,Married,32,3af96eef-4491-4798-8c24-73b884451a6f,2000-08-21 16:39:16,16,0,1,6,Y,2.0,Indiana,1,No,,1401.0,Sales,1,56,1,Sales Representative,3931,20990,No,11,80.0,1,5,High,High,Medium,Excellent,Low
40,2,Bachelor,Medical,Male,Divorced,32,db489c6d-d032-4b88-ab2f-b13c8107cd83,2000-08-24 00:34:27,14,1,0,10,Y,0.0,Noruega,0,No,Travel_Rarely,977.0,Research & Development,1,45,2,Research Scientist,5470,25518,No,13,80.0,2,4,Very High,High,Medium,Excellent,High
41,4,Master,Marketing,Female,Married,34,81e0a187-69ee-4c7b-9207-73c3671e9e9f,2000-08-31 09:20:49,20,0,2,6,Y,9.0,Colorado,1,No,Non-Travel,1381.0,Sales,1,72,2,Sales Executive,6538,12740,No,15,80.0,1,3,High,High,High,Excellent,Low
42,11,College,Other,Female,Divorced,24,8d76d821-82a8-4f82-8f2c-a446a23c147f,2000-08-31 14:40:19,9,1,3,5,,0.0,Delaware,0,No,Non-Travel,673.0,Research & Development,1,96,2,Manufacturing Director,4011,8232,No,18,80.0,1,5,Low,Very High,High,Excellent,
43,2,Master,Life Sciences,Male,Single,32,fe5999ea-c112-4550-bc82-ccbf36ef4d2a,2000-09-09 21:58:22,3,0,0,1,,1.0,Bélgica,0,Yes,Travel_Rarely,1259.0,Research & Development,1,95,1,Laboratory Technician,1393,24852,No,12,80.0,0,2,Very High,High,,Excellent,Low
44,9,College,Life Sciences,Male,Divorced,38,2e5571b5-943c-4394-bbbf-f058488915c9,2000-09-28 21:55:21,8,0,3,10,Y,2.0,Vermont,0,No,Travel_Rarely,1206.0,Research & Development,1,71,1,Research Scientist,4771,14293,No,19,80.0,2,0,Medium,High,Very High,Excellent,Very High
45,20,Bachelor,Other,Male,Married,30,a770a49c-f096-4917-af4e-64d05320e790,2000-10-05 02:27:53,2,0,1,7,Y,0.0,Portugal,1,No,Travel_Rarely,,Research & Development,1,85,2,Manufacturing Director,9957,9096,No,15,80.0,1,1,High,High,Low,Excellent,High
46,22,Below College,Technical Degree,Male,Single,21,bc42aeb8-71d6-4c4f-be8c-7d56702215d7,2000-10-05 10:21:40,1,1,0,3,,1.0,Alaska,0,No,Travel_Rarely,1343.0,Sales,1,49,1,Sales Representative,3447,24444,No,11,80.0,0,2,High,High,High,Excellent,High
47,4,Master,Life Sciences,Female,Married,39,b3a7933f-1e3d-47d9-bc9d-b08adfb94fdc,2000-10-07 01:56:23,11,4,3,17,Y,4.0,Portugal,0,No,Travel_Rarely,1329.0,Sales,1,47,2,Sales Executive,5902,14590,No,14,,1,1,Very High,Medium,High,Excellent,High
48,2,Bachelor,Medical,Female,Single,38,429d3ed0-8598-4e8d-860f-6a6c66889835,2000-10-24 09:43:51,14,0,3,4,Y,1.0,Kentucky,1,No,Travel_Frequently,148.0,Research & Development,1,42,1,Laboratory Technician,2440,23826,No,22,80.0,0,3,Very High,Medium,Medium,Outstanding,Medium
49,5,Bachelor,Life Sciences,Male,Divorced,51,61b03fe5-6a9b-451a-972e-536eb4e17bb2,2000-10-26 21:23:42,0,0,1,33,Y,1.0,Kansas,0,No,Travel_Rarely,770.0,Human Resources,1,84,4,Manager,14026,17588,Yes,11,80.0,1,2,High,High,Medium,Excellent,Medium
50,16,Bachelor,Marketing,Male,Married,35,1be87bcd-0dee-43a5-8912-6e8a08c311b5,2000-10-29 17:18:30,22,5,7,12,Y,0.0,Texas,0,No,Travel_Rarely,1232.0,Sales,1,96,3,Sales Executive,8020,5100,No,15,,2,3,High,High,Medium,Excellent,
51,2,Bachelor,Life Sciences,Male,Married,26,9b183307-b1c9-4678-847b-38b39f501d10,2000-11-10 20:04:05,18,1,0,6,,6.0,Illinois,0,Yes,Travel_Frequently,342.0,Research & Development,1,57,1,Research Scientist,2042,15346,Yes,14,80.0,1,2,Low,High,Low,Excellent,Medium
52,3,Bachelor,Other,Male,Married,37,7481dcbf-7a33-4296-b331-538be392ff73,2000-11-16 05:01:10,19,2,6,10,Y,1.0,Austria,0,No,Travel_Rarely,482.0,Research & Development,1,36,3,Manufacturing Director,9434,9606,No,15,80.0,1,2,High,High,High,Excellent,High
53,5,Bachelor,Other,Female,Divorced,53,acb2427a-5121-474e-bb20-66dc4fca83d6,2000-11-18 14:30:34,22,1,2,26,,4.0,Pensilvania,1,No,Travel_Rarely,1282.0,Research & Development,1,58,5,Manager,19094,10735,No,11,80.0,1,3,High,High,High,Excellent,Very High
54,12,Doctor,Medical,Female,Single,36,304858fe-7de1-42d0-9a43-03fd871ea319,2000-11-21 14:40:37,10,3,0,15,Y,0.0,Suiza,1,No,Travel_Rarely,796.0,Research & Development,1,51,3,Manufacturing Director,8858,15669,No,11,80.0,0,2,Very High,Medium,Very High,Excellent,Medium
55,1,,Life Sciences,Male,Married,23,563ffe30-a6ae-4df5-85ab-ed645ae28b70,2000-11-26 10:48:57,14,0,0,1,,1.0,Dinamarca,0,No,Travel_Rarely,373.0,Research & Development,1,47,1,Research Scientist,1223,16901,No,22,80.0,1,2,Very High,High,High,Outstanding,Very High
56,8,Bachelor,Life Sciences,Female,Married,36,fb7a4e01-489d-477e-af2c-dbb6cdb68907,2000-12-10 07:31:17,4,0,4,10,,9.0,Minnesota,1,No,Non-Travel,427.0,Research & Development,1,63,3,Research Director,11713,20335,No,14,80.0,1,2,Low,Very High,Low,Excellent,Low
57,8,Master,Marketing,Female,Married,27,a8606914-d64e-4af1-9f16-1b6245d6fdad,2000-12-10 13:23:02,1,0,0,8,Y,1.0,Suiza,1,No,Travel_Rarely,1130.0,Sales,1,56,2,Sales Executive,6214,3415,No,18,80.0,1,3,Medium,High,Medium,Excellent,Low
58,2,Bachelor,Medical,Male,Married,55,ee323c6b-8dd1-4b0b-8dd8-94c854d8cc8f,2000-12-12 17:52:44,11,0,0,34,Y,8.0,Delaware,0,No,Travel_Rarely,478.0,Research & Development,1,60,5,Research Director,19038,19805,No,12,80.0,3,2,High,Medium,Low,Excellent,Medium
59,25,Doctor,Medical,Female,Married,37,99ea1440-a760-417f-8731-b6731f1fcde0,2000-12-30 16:18:09,19,1,7,15,,3.0,Nueva Jersey,0,No,Non-Travel,,Research & Development,1,72,2,Research Scientist,4449,23866,Yes,15,80.0,2,2,Medium,High,High,Excellent,Low
60,12,Below College,Medical,Female,Married,31,dd010efe-53a5-42a2-85ca-246546a0d62d,2001-01-03 09:07:42,2,0,1,7,Y,8.0,Francia,0,No,Travel_Rarely,140.0,Research & Development,1,95,1,Research Scientist,3929,6984,Yes,23,80.0,1,0,High,High,Very High,Outstanding,High
61,8,College,Other,Female,Divorced,25,1c6e492e-3b4f-4fb4-925a-1adfec6432ae,2001-01-06 01:14:34,20,0,0,6,Y,0.0,Austria,0,No,Travel_Rarely,,Sales,1,85,2,Sales Executive,4907,13684,Yes,22,80.0,1,3,Low,High,,Outstanding,Medium
62,16,College,Life Sciences,Male,Divorced,40,7f427f30-b8fe-4c05-8731-133edde88726,2001-01-08 08:34:09,7,0,0,6,Y,9.0,Austria,1,No,Non-Travel,458.0,Research & Development,1,74,1,Research Scientist,3544,8532,No,16,80.0,1,0,High,High,,Excellent,Medium
63,11,Bachelor,Medical,Female,Single,37,c40ba2f5-d0b1-4cb5-a589-337def97d122,2001-01-09 09:47:36,1,0,1,8,Y,4.0,Suiza,0,No,,1462.0,Research & Development,1,94,1,Laboratory Technician,3629,19106,No,18,80.0,0,6,Low,High,High,Excellent,Low
64,24,Bachelor,Technical Degree,Male,Single,26,89709c63-7c8b-4746-aa28-e5096dddc9af,2001-01-14 11:46:50,4,0,0,1,Y,1.0,Reino Unido,1,Yes,Travel_Rarely,471.0,Research & Development,1,66,1,Laboratory Technician,2340,23213,Yes,18,80.0,0,3,High,Low,Very High,Excellent,Medium
65,4,Bachelor,Marketing,Male,Single,41,f26c2640-99c1-4d9a-a350-5fe4b9b7039e,2001-01-19 02:35:40,21,2,5,8,Y,1.0,Dakota del Norte,0,Yes,Travel_Frequently,143.0,Sales,1,56,2,Sales Executive,9355,9558,No,18,80.0,0,5,Low,High,Medium,Excellent,High
66,5,Bachelor,Marketing,Female,Single,33,91c7c1c2-fc40-4536-91ef-3315c255375c,2001-01-26 08:38:17,3,0,0,1,Y,1.0,República Checa,0,Yes,Travel_Rarely,350.0,Sales,1,34,1,Sales Representative,2851,9150,Yes,13,80.0,0,2,Very High,High,High,Excellent,Medium
67,9,College,Medical,Male,Divorced,36,2059e3e7-ea1f-475e-a142-d257175e7587,2001-01-29 03:06:00,3,0,2,13,Y,2.0,República Checa,1,No,Travel_Rarely,913.0,Research & Development,1,48,2,Manufacturing Director,8847,13934,Yes,11,80.0,1,2,Medium,Medium,Medium,Excellent,High
68,10,Master,Technical Degree,Male,Married,42,13fe33a0-8a5e-45f8-8ad6-d31f2f4db599,2001-01-30 04:10:15,3,2,0,10,Y,3.0,Carolina del Norte,1,No,Non-Travel,,Research & Development,1,38,1,Research Scientist,2936,6161,No,22,80.0,2,1,High,High,High,Outstanding,Medium
69,1,Master,Medical,Female,Divorced,50,ef531819-3a77-4830-a318-66ff09bd1701,2001-02-19 23:13:13,17,0,6,32,Y,3.0,Polonia,1,No,Travel_Rarely,854.0,Sales,1,68,5,Manager,19517,24118,No,11,,1,3,Very High,High,Very High,Excellent,High
70,9,Bachelor,Medical,Male,Married,33,9a11c196-5c92-4aa3-a330-2c1e9136eccb,2001-03-04 18:38:59,19,2,6,15,Y,0.0,Kansas,1,No,Travel_Rarely,,Research & Development,1,60,1,Research Scientist,2781,6311,No,13,80.0,1,5,Low,High,,Excellent,Medium
71,4,Bachelor,Technical Degree,Male,Single,30,ff483057-9c4a-444d-9b74-13a5939118aa,2001-03-09 18:07:30,11,0,0,3,Y,9.0,Delaware,1,Yes,Travel_Frequently,464.0,Research & Development,1,40,1,Research Scientist,2285,3427,Yes,23,80.0,0,4,High,High,Very High,Outstanding,High
72,10,Below College,Medical,Male,Married,39,c0085935-b954-40e3-bbb6-c26702faf054,2001-03-29 13:04:47,1,2,8,21,Y,1.0,Indiana,0,No,Travel_Rarely,117.0,Research & Development,1,99,4,Manager,17068,5355,Yes,14,80.0,0,3,High,High,Low,Excellent,Very High
73,4,,Technical Degree,Male,Divorced,33,7ff5033b-1527-49a7-8b3a-dad4dda6e88f,2001-03-30 14:13:50,5,1,7,11,Y,5.0,Suiza,1,No,,775.0,Research & Development,1,90,2,Research Scientist,3055,6194,No,15,80.0,2,2,Very High,High,,Excellent,Very High
74,3,Master,Medical,Male,Divorced,31,feb7e3e2-69ba-4371-8a96-1cc112552a72,2001-04-17 20:45:22,3,2,2,9,Y,9.0,Massachusetts,1,No,Travel_Frequently,1327.0,Research & Development,1,73,3,Research Director,13675,13523,No,12,80.0,1,3,Medium,High,High,Excellent,Low
75,9,Master,Medical,Male,Divorced,40,9ffccec3-1fb0-464b-94a3-b3e6f6b32081,2001-04-18 13:03:18,19,0,0,3,Y,8.0,Maryland,1,No,Travel_Frequently,1469.0,Research & Development,1,35,1,Research Scientist,3617,25063,Yes,14,80.0,1,2,Very High,High,Medium,Excellent,Very High
76,2,,Life Sciences,Female,Single,47,3e8507cc-f0b5-4e48-b26d-ed082a5b48a9,2001-04-20 01:42:31,2,1,2,3,Y,1.0,Arizona,0,No,,1454.0,Sales,1,65,1,Sales Representative,3294,13137,Yes,18,80.0,0,3,Very High,Medium,Very High,Excellent,Low
77,16,Master,Medical,Male,Divorced,47,47285733-cb85-42ad-b8bb-c74c7740265e,2001-04-24 12:49:07,8,1,5,20,Y,1.0,Nebraska,0,No,Travel_Frequently,1379.0,Research & Development,1,64,2,Manufacturing Director,5067,6759,Yes,19,80.0,0,3,High,Very High,,Excellent,High
78,10,Bachelor,Life Sciences,Male,Divorced,34,60b8be83-bb98-47f5-9b69-dd6ee19df834,2001-05-03 11:31:51,23,0,4,15,Y,1.0,Portugal,0,No,Non-Travel,1375.0,Sales,1,87,2,Sales Executive,4001,12313,Yes,14,80.0,1,3,Very High,High,High,Excellent,High
79,29,Bachelor,Medical,Male,Single,45,99b93a8d-2341-4b12-bd6a-c1cf5cddc83b,2001-05-06 03:46:27,5,0,2,9,Y,5.0,Minnesota,0,No,Travel_Rarely,1316.0,Research & Development,1,83,1,Research Scientist,3452,9752,No,13,80.0,0,2,High,High,Very High,Excellent,Medium
80,18,,Life Sciences,Male,Married,25,a02b422f-7adf-4fa5-a517-50051a90102f,2001-05-11 04:49:46,7,0,0,6,Y,2.0,Florida,1,No,Travel_Rarely,1372.0,Sales,1,93,2,Sales Executive,6232,12477,No,11,,0,3,Low,Very High,High,Excellent,Medium
81,9,,Life Sciences,Male,Divorced,31,8b41ee95-6dbe-4d5f-bed4-fb1bfad51e09,2001-05-19 04:50:04,3,0,4,13,Y,1.0,República Checa,1,No,Travel_Rarely,1274.0,Research & Development,1,33,3,Manufacturing Director,10648,14394,No,25,80.0,1,6,High,High,Medium,Outstanding,Very High
82,11,Bachelor,Technical Degree,Female,Married,40,a3ed2c90-3710-4cda-acdf-55f40b9f416e,2001-05-21 03:03:55,7,9,2,10,Y,1.0,Noruega,0,No,Travel_Frequently,692.0,Research & Development,1,73,2,Laboratory Technician,6323,26849,No,11,80.0,1,2,Very High,High,High,Excellent,Low
83,9,,Medical,Male,Divorced,41,8f74624b-7377-45d7-9512-8a5a314f29d5,2001-06-09 14:21:08,12,0,5,21,Y,2.0,Croacia,1,No,Travel_Frequently,840.0,Research & Development,1,64,5,Research Director,19419,3735,No,17,80.0,1,2,Low,High,High,Excellent,Medium
84,8,College,Medical,Female,Married,32,872f919a-a7ae-4039-9cd4-ad7ef06277f9,2001-06-12 15:35:55,6,1,0,9,Y,5.0,Grecia,1,No,Travel_Rarely,638.0,Research & Development,1,91,2,Research Scientist,5175,22162,No,12,,1,3,High,Very High,High,Excellent,High
85,8,College,Life Sciences,Female,Single,28,c57c4488-5156-42f9-9ee1-86f9f7ddbc9d,2001-06-15 23:31:48,18,0,0,5,Y,1.0,Países Bajos,1,No,Travel_Rarely,1117.0,Research & Development,1,66,1,Research Scientist,3310,4488,No,21,,0,3,Very High,High,Very High,Outstanding,Very High
86,20,Bachelor,Life Sciences,Female,Single,27,d2a8ec57-f903-4183-9173-bcecb0148e92,2001-07-03 18:34:58,5,0,0,7,Y,1.0,Wyoming,1,No,Travel_Frequently,1242.0,Sales,1,90,2,Sales Executive,9981,12916,No,14,80.0,0,2,Very High,High,,Excellent,Very High
87,10,Doctor,Marketing,Male,Divorced,33,d2691717-7228-415f-9217-1a110c924246,2001-07-07 19:33:20,9,0,1,10,Y,0.0,Alemania,1,No,Travel_Rarely,536.0,Sales,1,82,3,Sales Executive,8380,21708,Yes,14,80.0,2,3,Very High,Very High,High,Excellent,Very High
88,1,College,Medical,Male,Divorced,50,c6e99d3c-efbe-4bfd-8f1e-b5f21111714f,2001-07-23 23:02:23,18,1,1,32,Y,9.0,Montana,1,No,,1126.0,Research & Development,1,66,4,Research Director,17399,6615,No,22,80.0,1,1,Very High,High,Very High,Outstanding,High
